
ja	yes (from german) [interj]
jeopardizes	"jeopardize, to expose to loss or injury, also jeopardise [v]"
jeopardizing	"jeopardize, to expose to loss or injury, also jeopardise [v]"
jeopardous	(obsolete) perilous; hazardous [adj jeopardously]
jeopardously	"jeopardous, (obsolete) perilous; hazardous [adv]"
jeopards	"jeopard, to put in jeopardy; to imperil [v]"
jeopardy	a hazard or danger [n jeopardies]
jeopardying	jeopardy [v]
jequerities	"jequerity, the tropical shrub indian liquorice, also jequirity [n]"
jequerity	"the tropical shrub indian liquorice, also jequirity [n jequerities]"
jequirities	"jequirity, the tropical shrub indian liquorice, also jequerity [n]"
jequirity	"the tropical shrub indian liquorice, also jequerity [n jequirities]"
jerbil	"(french) a desert rodent, also gerbil, gerbille [n -s]"
jerbils	"jerbil, (french) a desert rodent, also gerbil, gerbille [n]"
jerboa	(arabic) a desert rodent that jumps on long legs like a kangaroo [n -s]
jerboas	"jerboa, (arabic) a desert rodent that jumps on long legs like a kangaroo [n]"
jereed	"a wooden oriental javelin, also jerid, jerreed, jerrid [n -s]"
jereeds	"jereed, a wooden oriental javelin, also jerid, jerreed, jerrid [n]"
jeremiad	a literary work or speech expressing a bitter lament or a righteous prophecy of doom [n -s]
jeremiads	"jeremiad, a literary work or speech expressing a bitter lament or a righteous prophecy of doom [n]"
jerepigo	"a sweet fortified wine similar to port, also geropiga [n -s]"
jerepigos	"jerepigo, a sweet fortified wine similar to port, also geropiga [n]"
jerfalcon	"a heavy, powerful falcon of cold northerly regions, also gerfalcon, gyrfalcon [n -s]"
jerfalcons	"jerfalcon, a heavy, powerful falcon of cold northerly regions, also gerfalcon, gyrfalcon [n]"
jerid	"a wooden oriental javelin, also jereed, jerreed, jerrid [n -s]"
jerids	"jerid, a wooden oriental javelin, also jereed, jerreed, jerrid [n]"
jerk	"to move spasmodically [v -ed, -ing, -s]"
jerked	"jerk, to move spasmodically [v]"
jerker	"(us) a kind of fish, aka hornyhead [n -s]"
jerkers	"jerker, (us) a kind of fish, aka hornyhead [n]"
jerkier	"jerky, spasmodic [adj]"
jerkies	"jerky, dried meat [n]"
jerkiest	"jerky, spasmodic [adj]"
jerkily	"jerky, spasmodic [adv]"
jerkin	a kind of jacket [n -s]
jerkiness	the state of being jerky [n -es]
jerkinesses	"jerkiness, the state of being jerky [n]"
jerking	jerky [adj jerkingly] / the act of jerking [n -s]
jerkingly	"jerking, jerky [adv]"
jerkings	"jerking, the act of jerking [n]"
jerkinhead	a truncated gable with a lipped roof [n -s]
jerkinheads	"jerkinhead, a truncated gable with a lipped roof [n]"
jerkins	"jerkin, a kind of jacket [n]"
jerks	"jerk, to move spasmodically [v]"
jerkwater	"not on a branch line, hick, insignificant [adj] / a train on a branch line [n -s]"
jerkwaters	"jerkwater, a train on a branch line [n]"
jerky	"dried meat [n jerkies] / spasmodic [adj jerkier, jerkiest, jerkily]"
jeroboam	an oversize wine bottle holding about four 26-ounce quarts [n -s]
jeroboams	"jeroboam, an oversize wine bottle holding about four 26-ounce quarts [n]"
jerque	"to search a vessel for contraband [v jerqued, jerquing, jerques]"
jerqued	"jerque, to search a vessel for contraband [v]"
jerquer	"one who searches for contraband, also jerker [n -s]"
jerquers	"jerquer, one who searches for contraband, also jerker [n]"
jerques	"jerque, to search a vessel for contraband [v]"
jerquing	"a search for contraband, also jerking [n -s]"
jerquings	"jerquing, a search for contraband, also jerking [n]"
jerreed	"a wooden oriental javelin, also jereed, jerid, jerrid [n -s]"
jerreeds	"jerreed, a wooden oriental javelin, also jereed, jerid, jerrid [n]"
jerrican	"a fuel container, also jerrycan [n -s]"
jerricans	"jerrican, a fuel container, also jerrycan [n]"
jerrid	"a wooden oriental javelin, also jereed, jerid, jerreed [n -s]"
jerrids	"jerrid, a wooden oriental javelin, also jereed, jerid, jerreed [n]"
jerries	"jerry, (colloquial) a chamberpot [n]"
jerry	(colloquial) a chamberpot [n jerries]
jerrycan	"a fuel container, also jerrican [n -s]"
jerrycans	"jerrycan, a fuel container, also jerrican [n]"
jerrymander	"to rearrange (voting districts) in the interests of a particular party or candidate, also gerrymander [v -ed, -ing, -s]"
jerrymandered	"jerrymander, to rearrange (voting districts) in the interests of a particular party or candidate, also gerrymander [v]"
jerrymandering	"jerrymander, to rearrange (voting districts) in the interests of a particular party or candidate, also gerrymander [v]"
jerrymanders	"jerrymander, to rearrange (voting districts) in the interests of a particular party or candidate, also gerrymander [v]"
jersey	a knitted shirt [n -s]
jerseyed	wearing a jersey [adj]
jerseys	"jersey, a knitted shirt [n]"
jess	"to fasten straps to a hawk's legs, also jesse [v -ed, -ing, -es]"
jessamies	"jessamy, (obsolete) jasmine, also gessamine, jasmin, jasmine, jessamine [n]"
jessamine	"a genus of oleaceous shrubs, also gessamine, jasmin, jasmine, jessamy [n -s]"
jessamines	"jessamine, a genus of oleaceous shrubs, also gessamine, jasmin, jasmine, jessamy [n]"
jessamy	"(obsolete) jasmine, also gessamine, jasmin, jasmine, jessamine [n jessamies]"
jessant	"in heraldry, shooting from the earth [adj]"
jesse	"to fasten straps to a hawk's legs, also jess [v jessed, jessing, jesses]"
jessed	"jesse, to fasten straps to a hawk's legs, also jess [v]"
jesserant	"(historical) a coat of mail made of small plates of metal sewed upon linen or the like, also jazerant [n -s]"
jesserants	"jesserant, (historical) a coat of mail made of small plates of metal sewed upon linen or the like, also jazerant [n]"
jesses	"jesse, to fasten straps to a hawk's legs, also jess [v]"
jessie	(scots) an effeminate man [n -s]
jessies	"jessie, (scots) an effeminate man [n]"
jessing	"jesse, to fasten straps to a hawk's legs, also jess [v]"
jest	"to joke [v -ed, -ing, -s]"
jestbook	a collection of funny stories [n -s]
jestbooks	"jestbook, a collection of funny stories [n]"
jested	"jest, to joke [v]"
jestee	the object of a jest [n -s]
jestees	"jestee, the object of a jest [n]"
jester	one that jests [n -s]
jesters	"jester, one that jests [n]"
jestful	given to jesting [adj]
jesting	the act of one who jests [n -s]
jestingly	jesting [adv]
jestings	"jesting, the act of one who jests [n]"
jests	"jest, to joke [v]"
jesuit	"an intriguer, a prevaricator [n -s]"
jesuitic	"cunning; quibbling, also jesuitical [adj jesuitically]"
jesuitical	"cunning; quibbling, also jesuitic [adj jesuitically]"
jesuitically	"jesuitical, cunning; quibbling, also jesuitic [adv]"
jesuitism	"subtle argument, also jesuitry [n -s]"
jesuitisms	"jesuitism, subtle argument, also jesuitry [n]"
jesuitries	"jesuitry, an unethical practice [n]"
jesuitry	an unethical practice [n jesuitries]
jesuits	"jesuit, an intriguer, a prevaricator [n]"
jesus	a size of paper in france [n jesus]
jet	"to spurt forth in a stream [v jetted, jetting, jets]"
jetbead	an ornamental shrub [n -s]
jetbeads	"jetbead, an ornamental shrub [n]"
jete	a ballet leap [n -s]
jetes	"jete, a ballet leap [n]"
jetfoil	a hydrofoil powered by a jet of water [n -s]
jetfoils	"jetfoil, a hydrofoil powered by a jet of water [n]"
jetlag	the disruption of body rhythms after a flight through several time zones [n -s]
jetlags	"jetlag, the disruption of body rhythms after a flight through several time zones [n]"
jetlike	resembling a jet aeroplane [adj]
jetliner	a plane powered by jet engines [n -s]
jetliners	"jetliner, a plane powered by jet engines [n]"
jeton	"a piece of metal used as a counter, also jetton [n -s]"
jetons	"jeton, a piece of metal used as a counter, also jetton [n]"
jetpack	a backpack with jets used for transport [n -s]
jetpacks	"jetpack, a backpack with jets used for transport [n]"
jetport	an airport for jets [n -s]
jetports	"jetport, an airport for jets [n]"
jets	"jet, to spurt forth in a stream [v]"
jetsam	"stuff thrown overboard to lighten the load in time of distress which sinks or is washed ashore, also jetsom, jetson [n -s]"
jetsams	"jetsam, stuff thrown overboard to lighten the load in time of distress which sinks or is washed ashore, also jetsom, jetson [n]"
jetsom	"(archaic) jetsam, also jetson [n -s]"
jetsoms	"jetsom, (archaic) jetsam, also jetson [n]"
jetson	"(archaic) jetsam, also jetsom [n -s]"
jetsons	"jetson, (archaic) jetsam, also jetsom [n]"
jetstream	a narrow belt of high-altitude winds moving east at high speeds and having an important effect on frontogenesis [n -s]
jetstreams	"jetstream, a narrow belt of high-altitude winds moving east at high speeds and having an important effect on frontogenesis [n]"
jettatura	(italian) the evil eye [n -s]
jettaturas	"jettatura, (italian) the evil eye [n]"
jetted	"jet, to spurt forth in a stream [v]"
jettied	"jetty, to jut out, also jutty [v]"
jettier	"jetty, jet black in colour [adj]"
jetties	"jetty, to jut out, also jutty [v]"
jettiest	"jetty, jet black in colour [adj]"
jettiness	the state of being jetty; blackness [n -es]
jettinesses	"jettiness, the state of being jetty; blackness [n]"
jetting	"jet, to spurt forth in a stream [v]"
jettison	"to throw overboard [v -ed, -ing, -s]"
jettisonable	capable of being jettisoned [adj]
jettisoned	"jettison, to throw overboard [v]"
jettisoning	"jettison, to throw overboard [v]"
jettisons	"jettison, to throw overboard [v]"
jetton	"a piece of metal used as a counter, also jeton [n -s]"
jettons	"jetton, a piece of metal used as a counter, also jeton [n]"
jetty	"to jut out, also jutty [v jettied, jettying, jetties] / jet black in colour [adj jettier, jettiest]"
jettying	"jetty, to jut out, also jutty [v]"
jetway	a telescoping corridor that extends from an airport terminal to an aircraft [n -s]
jetways	"jetway, a telescoping corridor that extends from an airport terminal to an aircraft [n]"
jeu	(french) a game [n jeux]
jeune	(french) young [adj]
jeux	"jeu, (french) a game [n]"
jew	"to barter successfully [v -ed, -ing, -s]"
jewed	"jew, to barter successfully [v]"
jewel	"to adorn with precious stones [v jeweled or jewelled, jeweling or jewelling, jewels]"
jeweled	"jewel, to adorn with precious stones [v]"
jeweler	"a trader or maker of jewelry, also jeweller [n -s]"
jewelers	"jeweler, a trader or maker of jewelry, also jeweller [n]"
jewelfish	a brightly-coloured african cichlid [n -es]
jewelfishes	"jewelfish, a brightly-coloured african cichlid [n]"
jeweling	"jewel, to adorn with precious stones [v]"
jewelled	"jewel, to adorn with precious stones [v]"
jeweller	"a trader or maker of jewelry, also jeweler [n -s]"
jewelleries	"jewellery, jewels in general, also jewelry [n]"
jewellers	"jeweller, a trader or maker of jewelry, also jeweler [n]"
jewellery	"jewels in general, also jewelry [n jewelleries]"
jewellike	like a jewel [adj]
jewelling	"jewel, to adorn with precious stones [v]"
jewelries	"jewelry, jewels in general [n]"
jewelry	jewels in general [n jewelries]
jewels	"jewel, to adorn with precious stones [v]"
jewelweed	a plant of the touch-me-not genus with crimson-spotted yellow flowers [n -s]
jewelweeds	"jewelweed, a plant of the touch-me-not genus with crimson-spotted yellow flowers [n]"
jewfish	a large marine fish of florida and the gulf of mexico [n -es]
jewfishes	"jewfish, a large marine fish of florida and the gulf of mexico [n]"
jewie	(australian slang) the jewfish [n -s]
jewies	"jewie, (australian slang) the jewfish [n]"
jewing	"jew, to barter successfully [v]"
jews	"jew, to barter successfully [v]"
jezail	a heavy afghan musket [n -s]
jezails	"jezail, a heavy afghan musket [n]"
jezebel	"a scheming, wicked woman [n -s]"
jezebels	"jezebel, a scheming, wicked woman [n]"
jhala	"(sanskrit) in hindu music, part of the second movement of a raga [n -s]"
jhalas	"jhala, (sanskrit) in hindu music, part of the second movement of a raga [n]"
jhatka	the slaughter of animals for food in accordance with sikh law [n -s]
jhatkas	"jhatka, the slaughter of animals for food in accordance with sikh law [n]"
jiao	"(chinese) a chinese monetary unit, one tenth of a yuan, also chiao [n -s]"
jiaos	"jiao, (chinese) a chinese monetary unit, one tenth of a yuan, also chiao [n]"
jib	"to draw back, to renegue [v -ed, -ing, -s]"
jibb	"to shift from side to side while sailing [v -ed, -ing, -s]"
jibba	"a long loose outer garment worn by muslims, also djibba, djibbah, jibbah, jubbah, jubhah [n -s]"
jibbah	"(arabic) a long loose outer garment worn by muslims, also djibba, djibbah, jubbah, jubhah [n -s]"
jibbahs	"jibbah, (arabic) a long loose outer garment worn by muslims, also djibba, djibbah, jubbah, jubhah [n]"
jibbas	"jibba, a long loose outer garment worn by muslims, also djibba, djibbah, jibbah, jubbah, jubhah [n]"
jibbed	"jibb, to shift from side to side while sailing [v]"
jibber	"to utter senseless sounds [v -ed, -ing, -s]"
jibbered	"jibber, to utter senseless sounds [v]"
jibbering	"jibber, to utter senseless sounds [v]"
jibbers	"jibber, to utter senseless sounds [v]"
jibbing	"jib, to draw back, to renegue [v]"
jibbings	the last milk drawn from a cow [n]
jibbons	spring onions [n]
jibboom	a ship's spar [n -s]
jibbooms	"jibboom, a ship's spar [n]"
jibbs	"jibb, to shift from side to side while sailing [v]"
jibe	"to jeer, also gibe [n jibes, jibing, jibed]"
jibed	jibe [v]
jiber	"one who jibes, also giber [n -s]"
jibers	"jiber, one who jibes, also giber [n]"
jibes	jibe [v]
jibing	jibe [v]
jibingly	jibing [adv]
jibs	"jib, to draw back, to renegue [v]"
jicama	an edible starchy tuberous root of a leguminous tropical american vine [n -s]
jicamas	"jicama, an edible starchy tuberous root of a leguminous tropical american vine [n]"
jickajog	"to copulate, also jigajig, jigajog, jigjig [v jickajogged, jickajogging, jickajogs]"
jickajogged	"jickajog, to copulate, also jigajig, jigajog, jigjig [v]"
jickajogging	the act of moving with a rolling motion [n -s]
jickajoggings	"jickajogging, the act of moving with a rolling motion [n]"
jickajogs	"jickajog, to copulate, also jigajig, jigajog, jigjig [v]"
jiff	"a short time, also jiffy [n -s]"
jiffies	"jiffy, (colloquial) a short time, also jiff [n]"
jiffs	"jiff, a short time, also jiffy [n]"
jiffy	"(colloquial) a short time, also jiff [n jiffies]"
jig	"to dance a jig; to jump up and down [v jigged, jigging, jigs]"
jigaboo	a black person [n -s]
jigaboos	"jigaboo, a black person [n]"
jigajig	"to copulate, also jickajog, jigajog, jigjig [v jigajigged, jigajigging, jigajigs]"
jigajigged	"jigajig, to copulate, also jickajog, jigajog, jigjig [v]"
jigajigging	"jigajig, to copulate, also jickajog, jigajog, jigjig [v]"
jigajigs	"jigajig, to copulate, also jickajog, jigajog, jigjig [v]"
jigajog	"to copulate, also jickajog, jigajig, jigjig [v jigajogged, jigajogging, jigajogs]"
jigajogged	"jigajog, to copulate, also jickajog, jigajig, jigjig [v]"
jigajogging	"jigajog, to copulate, also jickajog, jigajig, jigjig [v]"
jigajogs	"jigajog, to copulate, also jickajog, jigajig, jigjig [v]"
jigamaree	a whatsit [n -s]
jigamarees	"jigamaree, a whatsit [n]"
jigged	"jig, to dance a jig; to jump up and down [v]"
jigger	"to jerk up and down [v -ed, -ing, -s]"
jiggered	"jigger, to jerk up and down [v]"
jiggering	"jigger, to jerk up and down [v]"
jiggermast	a small mast on a sailing vessel [n -s]
jiggermasts	"jiggermast, a small mast on a sailing vessel [n]"
jiggers	"jigger, to jerk up and down [v]"
jiggier	"jiggy, with the rhythm of a jig (dance) [adj]"
jiggiest	"jiggy, with the rhythm of a jig (dance) [adj]"
jigging	the act of jigging [n -s]
jiggings	"jigging, the act of jigging [n]"
jiggish	jerky [adj]
jiggle	"to shake from side to side [v jiggled, jiggling, jiggles]"
jiggled	"jiggle, to shake from side to side [v]"
jiggles	"jiggle, to shake from side to side [v]"
jigglier	"jiggly, given to jiggling [adj]"
jiggliest	"jiggly, given to jiggling [adj]"
jiggling	"jiggle, to shake from side to side [v]"
jiggly	"given to jiggling [adj jigglier, jiggliest]"
jiggumbob	a thingamabob; a gewgaw [n -s]
jiggumbobs	"jiggumbob, a thingamabob; a gewgaw [n]"
jiggy	"with the rhythm of a jig (dance) [adj jiggier, jiggiest]"
jigjig	"to copulate, also jickajog, jigajig, jigajog [v jigjigged, jigjigging, jigjigs]"
jigjigged	"jigjig, to copulate, also jickajog, jigajig, jigajog [v]"
jigjigging	"jigjig, to copulate, also jickajog, jigajig, jigajog [v]"
jigjigs	"jigjig, to copulate, also jickajog, jigajig, jigajog [v]"
jiglike	like a jig [adj]
jigot	"(french) a leg of lamb, also gigot [n -s]"
jigots	"jigot, (french) a leg of lamb, also gigot [n]"
jigs	"jig, to dance a jig; to jump up and down [v]"
jigsaw	"to cut with a narrow saw [v jigsawed, jigsawn, jigsawing, jigsaws]"
jigsawed	"jigsaw, to cut with a narrow saw [v]"
jigsawing	"jigsaw, to cut with a narrow saw [v]"
jigsawn	"jigsaw, to cut with a narrow saw [v]"
jigsaws	"jigsaw, to cut with a narrow saw [v]"
jihad	"in islam, a holy war, also jehad [n -s]"
jihadeen	"islamic freedom fighters, also jehadeen [n]"
jihadi	"one who takes part in a jehad, also jehadi, jehadist, jihadist [n -s]"
jihadis	"jihadi, one who takes part in a jehad, also jehadi, jehadist, jihadist [n]"
jihadism	"an islamic fundamentalist movement that favours the pursuit of jihads in defence of the islamic faith, also jehadism [n -s]"
jihadisms	"jihadism, an islamic fundamentalist movement that favours the pursuit of jihads in defence of the islamic faith, also jehadism [n]"
jihadist	"one who takes part in a jehad, also jehadi, jihadi, jehadist [n -s]"
jihadists	"jihadist, one who takes part in a jehad, also jehadi, jihadi, jehadist [n]"
jihads	"jihad, in islam, a holy war, also jehad [n]"
jilbab	a long robe worn by muslim women [n jilbabs or jalabib]
jilbabs	"jilbab, a long robe worn by muslim women [n]"
jilgie	"(native australian) a yabby, a small freshwater crayfish, also gilgie [n -s]"
jilgies	"jilgie, (native australian) a yabby, a small freshwater crayfish, also gilgie [n]"
jill	a female hare [n -s]
jillaroo	a female jackaroo (apprentice at a cattle station) [n -s]
jillaroos	"jillaroo, a female jackaroo (apprentice at a cattle station) [n]"
jillet	"(scots) a skittish, flighty girl, also giglet, giglot, gillet [n -s]"
jillets	"jillet, (scots) a skittish, flighty girl, also giglet, giglot, gillet [n]"
jillflirt	"(archaic) a wanton girl, also gillflirt [n -s]"
jillflirts	"jillflirt, (archaic) a wanton girl, also gillflirt [n]"
jillion	an indefinite but extremely large number [n -s]
jillions	"jillion, an indefinite but extremely large number [n]"
jillionth	the ordinal of jillion [adj]
jills	"jill, a female hare [n]"
jilt	"to discard a lover [v -ed, -ing, -s]"
jilted	"jilt, to discard a lover [v]"
jilter	one who jilts [n -s]
jilters	"jilter, one who jilts [n]"
jilting	"jilt, to discard a lover [v]"
jilts	"jilt, to discard a lover [v]"
jimcrack	"cheap and showy [adj] / something cheap and showy, of little use, also gimcrack [n -s]"
jimcracks	"jimcrack, something cheap and showy, of little use, also gimcrack [n]"
jiminy	"an interjection expressing surprise, also gemini, gemony, jimminy [interj]"
jimjam	a knick-knack [n -s]
jimjams	"jimjam, a knick-knack [n]"
jimmie	"a short crowbar used by burglarsn [n -s] / to pry open with a jimmie, also jemmy, jimmy [v jimmied, jimmying, jimmies]"
jimmied	"jimmie, to pry open with a jimmie, also jemmy, jimmy [v]"
jimmies	"jimmie, to pry open with a jimmie, also jemmy, jimmy [v]"
jimminy	"an interjection expressing surprise, also gemini, gemony, jiminy [interj]"
jimmy	"a short crowbar used by burglars [n jimmies] / to pry open with a jimmy, also jemmy, jimmie [v jimmied, jimmying, jimmies]"
jimmying	"jimmy, to pry open with a jimmy, also jemmy, jimmie [v]"
jimp	"(scots) slender [adj jimper, jimpest, jimply]"
jimper	"jimp, (scots) slender [adj]"
jimpest	"jimp, (scots) slender [adj]"
jimpier	"jimpy, (scots) neat [adj]"
jimpiest	"jimpy, (scots) neat [adj]"
jimply	"jimp, (scots) slender [adv]"
jimpness	slenderness [n -es]
jimpnesses	"jimpness, slenderness [n]"
jimpson	"as in jimpson weed, the thorn apple, also jimson [adj]"
jimpy	"(scots) neat [adj jimpier, jimpiest]"
jimson	"a type of poisonous plant with white flowers and shiny fruits, also jimpson [n -s]"
jimsons	"jimson, a type of poisonous plant with white flowers and shiny fruits, also jimpson [n]"
jimsonweed	the thorn-apple [n -s]
jimsonweeds	"jimsonweed, the thorn-apple [n]"
jin	"a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jinn, jinnee, jinni [n -s]"
jingal	"a large chinese or indian swivel-musket, also gingal, gingall, jingall [n -s]"
jingall	"a large chinese or indian swivel-musket, also gingal, gingall, jingal [n -s]"
jingalls	"jingall, a large chinese or indian swivel-musket, also gingal, gingall, jingal [n]"
jingals	"jingal, a large chinese or indian swivel-musket, also gingal, gingall, jingall [n]"
jingbang	"(colloquial) company, collection [n -s]"
jingbangs	"jingbang, (colloquial) company, collection [n]"
jingko	"(japanese) a kind of tree, also gingko, ginkgo [n -es]"
jingkoes	"jingko, (japanese) a kind of tree, also gingko, ginkgo [n]"
jingle	"to make a tinkling sound [v jingled, jingling, jingles]"
jingled	"jingle, to make a tinkling sound [v]"
jingler	"one who, or that which, jingles [n -s]"
jinglers	"jingler, one who, or that which, jingles [n]"
jingles	"jingle, to make a tinkling sound [v]"
jinglet	a clapper on a sleigh-bell [n -s]
jinglets	"jinglet, a clapper on a sleigh-bell [n]"
jinglier	"jingly, jingling [adj]"
jingliest	"jingly, jingling [adj]"
jingling	"jingle, to make a tinkling sound [v]"
jingly	"jingling [adj jinglier, jingliest]"
jingo	"a zealous patriot, also jingoist [n jingoes]"
jingoes	"jingo, a zealous patriot, also jingoist [n]"
jingoish	"chauvinist, sabre-rattling, also jingoistic [adj]"
jingoism	the policy of jingoes [n -s]
jingoisms	"jingoism, the policy of jingoes [n]"
jingoist	"a zealous patriot, also jingo [n -s]"
jingoistic	"chauvinist, sabre-rattling, also jingoish [adj jingoistically]"
jingoistically	"jingoistic, chauvinist, sabre-rattling, also jingoish [adv]"
jingoists	"jingoist, a zealous patriot, also jingo [n]"
jinjili	"(hindi) the sesame seed or its oil, also gingeley, gingeli, gingelli, gingelly, gingely, gingili, gingilli [n -s]"
jinjilis	"jinjili, (hindi) the sesame seed or its oil, also gingeley, gingeli, gingelli, gingelly, gingely, gingili, gingilli [n]"
jink	"to dodge nimbly [v -ed, -ing, -s]"
jinked	"jink, to dodge nimbly [v]"
jinker	"(australian slang) a light horse-drawn passenger carriage [n -s] / to transport in a jinker [v -ed, -ing, -s]"
jinkered	"jinker, to transport in a jinker [v]"
jinkering	"jinker, to transport in a jinker [v]"
jinkers	"jinker, to transport in a jinker [v]"
jinking	"jink, to dodge nimbly [v]"
jinks	"jink, to dodge nimbly [v]"
jinn	"a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jin, jinnee, jinni [n -s]"
jinne	"(afrikaans) an exclamation expressive of surprise, admiration, shock, etc., also jirre [interj]"
jinnee	"(arabic) one of a class of spirits in muslim theology, also djin, djinni, djinny, genie, jin, jinni [n jinn]"
jinni	"a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jin, jinn, jinnee [n -s]"
jinnis	"jinni, a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jin, jinn, jinnee [n]"
jinns	"jinn, a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jin, jinnee, jinni [n]"
jinricksha	"(japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinrickshaw, jinrikisha, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n -s]"
jinrickshas	"jinricksha, (japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinrickshaw, jinrikisha, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n]"
jinrickshaw	"(japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinricksha, jinrikisha, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n -s]"
jinrickshaws	"jinrickshaw, (japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinricksha, jinrikisha, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n]"
jinrikisha	"(japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinricksha, jinrickshaw, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n -s]"
jinrikishas	"jinrikisha, (japanese) a small, two-wheeled, hooded vehicle drawn by one more men, also jinricksha, jinrickshaw, jinriksha, ricksha, rickshaw, rikisha, rikshaw [n]"
jinriksha	"(japanese) a small, two-wheeled hooded carriage drawn by a man or men, also jinricksha, jinrickshaw, jinrikisha, ricksha, rickshaw, rikisha, rikshaw [n -s]"
jinrikshas	"jinriksha, (japanese) a small, two-wheeled hooded carriage drawn by a man or men, also jinricksha, jinrickshaw, jinrikisha, ricksha, rickshaw, rikisha, rikshaw [n]"
jins	"jin, a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jann, jinn, jinnee, jinni [n]"
jinx	"to bring bad luck to [v -ed, -ing, -es]"
jinxed	"jinx, to bring bad luck to [v]"
jinxes	"jinx, to bring bad luck to [v]"
jinxing	"jinx, to bring bad luck to [v]"
jipijapa	"a palmlike tree of tropical america, also jipyapa [n -s]"
jipijapas	"jipijapa, a palmlike tree of tropical america, also jipyapa [n]"
jipyapa	"a palmlike tree of tropical america, also jipijapa [n -s]"
jipyapas	"jipyapa, a palmlike tree of tropical america, also jipijapa [n]"
jirble	"to pour unsteadily [v jirbled, jirbling, jirbles]"
jirbled	"jirble, to pour unsteadily [v]"
jirbles	"jirble, to pour unsteadily [v]"
jirbling	"jirble, to pour unsteadily [v]"
jird	an african gerbil [n -s]
jirds	"jird, an african gerbil [n]"
jirga	a council of tribal headmen in afghanistan [n -s]
jirgas	"jirga, a council of tribal headmen in afghanistan [n]"
jirkinet	(scots) a woman's jacket or bodice [n -s]
jirkinets	"jirkinet, (scots) a woman's jacket or bodice [n]"
jirre	"(afrikaans) an exclamation expressive of surprise, admiration, shock, etc., also jinne [interj]"
jism	"(colloquial) energy, force; semen, also gism, jissom [n -s]"
jisms	"jism, (colloquial) energy, force; semen, also gism, jissom [n]"
jissom	"(colloquial) energy, force; semen, also gism, jism [n -s]"
jissoms	"jissom, (colloquial) energy, force; semen, also gism, jism [n]"
jitney	a small bus [n -s]
jitneys	"jitney, a small bus [n]"
jitter	"to fidget [v -ed, -ing, -s]"
jitterbug	"to dance a jazz dance featuring vigorous acrobatic feats [v jitterbugged, jitterbugging, jitterbugs]"
jitterbugged	"jitterbug, to dance a jazz dance featuring vigorous acrobatic feats [v]"
jitterbugging	"jitterbug, to dance a jazz dance featuring vigorous acrobatic feats [v]"
jitterbugs	jitterbug [n]
jittered	"jitter, to fidget [v]"
jitterier	"jittery, extremely nervous [adj]"
jitteriest	"jittery, extremely nervous [adj]"
jitteriness	the state of being jittery [n -es]
jitterinesses	"jitteriness, the state of being jittery [n]"
jittering	"jitter, to fidget [v]"
jitters	"jitter, to fidget [v]"
jittery	"extremely nervous [adj jitterier, jitteriest]"
jiujitsu	"a japanese art of self defence, also jiujutsu, jujitsu, jujutsu [n -s]"
jiujitsus	"jiujitsu, a japanese art of self defence, also jiujutsu, jujitsu, jujutsu [n]"
jiujutsu	"a japanese art of self defence, also jiujitsu, jujitsu, jujutsu [n -s]"
jiujutsus	"jiujutsu, a japanese art of self defence, also jiujitsu, jujitsu, jujutsu [n]"
jive	"deceitful [adj jiver, jivest] / to dance to jazz or swing music [v jived, jiving, jives]"
jiveass	(colloquial) a person who loves fun and excitement [n -es]
jiveasses	"jiveass, (colloquial) a person who loves fun and excitement [n]"
jived	"jive, to dance to jazz or swing music [v]"
jiver	one who jives [n -s]
jivers	"jiver, one who jives [n]"
jives	"jive, to dance to jazz or swing music [v]"
jivest	"jive, deceitful [adj]"
jivey	"jazzy, lively, also jivy [adj jivier, jiviest]"
jivier	"jivy, jazzy, lively, also jivey [adj]"
jiviest	"jivy, jazzy, lively, also jivey [adj]"
jiving	"jive, to dance to jazz or swing music [v]"
jivy	"jazzy, lively, also jivey [adj jivier, jiviest]"
jiz	"a wig, also gizz [n jizzes]"
jizz	the characteristic movement of a bird [n -es]
jizzes	"jizz, the characteristic movement of a bird [n]"
jnana	knowledge acquired through meditation [n -s]
jnanas	"jnana, knowledge acquired through meditation [n]"
jo	"a scottish sweetheart, also jo [n -es]"
joanna	(colloquial) a piano [n -s]
joannas	"joanna, (colloquial) a piano [n]"
joannes	"a portuguese gold coin, also johannes [n -es]"
