
ha	expressing surprise [interj]
hollyhock	a plant of the mallow family [n -s]
hollyhocks	"hollyhock, a plant of the mallow family [n]"
holm	"a river island, also holme [n -s]"
holme	"an island in a river, also holm [n -s]"
holmes	"holme, an island in a river, also holm [n]"
holmia	an oxide of holmium [n -s]
holmias	"holmia, an oxide of holmium [n]"
holmic	"relating to holmium, a metallic element [adj]"
holmium	a metallic element [n -s]
holmiums	"holmium, a metallic element [n]"
holms	"holm, a river island, also holme [n]"
holo	(short for) hologram [n -s]
holobenthic	passing the entire life in the deep ocean [adj]
holoblastic	"of an entire egg, separated into individual blastomeres [adj holoblastically]"
holoblastically	"holoblastic, of an entire egg, separated into individual blastomeres [adv]"
holocaust	"a complete or wholesale destruction, esp. by fire [n -s]"
holocaustal	"relating to a holocaust, also holocaustic [adj]"
holocaustic	"relating to a holocaust, also holocaustal [adj]"
holocausts	"holocaust, a complete or wholesale destruction, esp. by fire [n]"
holocene	relating to the second and most recent epoch of the quaternary period [adj]
holocrine	applied to a gland whose secretion is composed of its own disintegrated cells [adj]
holocrystalline	"wholly crystalline in structure, without glass [adj]"
holodiscus	a genus of deciduous shrubs grown for their summer flowers [n -es]
holodiscuses	"holodiscus, a genus of deciduous shrubs grown for their summer flowers [n]"
holoenzyme	an enzyme which has a protein and non-protein ingredient [n -s]
holoenzymes	"holoenzyme, an enzyme which has a protein and non-protein ingredient [n]"
hologamies	"hologamy, the state of having gametes like other cells [n]"
hologamy	the state of having gametes like other cells [n hologamies]
hologram	a three-dimensional photograph [n -s]
holograms	"hologram, a three-dimensional photograph [n]"
holograph	"a text written entirely in its author's handwriting [n -s] / to write a text in one's own handwriting [v -ed, -ing, -s]"
holographed	"holograph, to write a text in one's own handwriting [v]"
holographer	one who makes holographs [n -s]
holographers	"holographer, one who makes holographs [n]"
holographic	relating to holographs [adj holographically]
holographically	"holographic, relating to holographs [adv]"
holographies	"holography, the technique or process of making or using holograms [n]"
holographing	"holograph, to write a text in one's own handwriting [v]"
holographs	"holograph, a text written entirely in its author's handwriting [n]"
holography	the technique or process of making or using holograms [n holographies]
hologynic	passed down through females [adj]
hologynies	"hologyny, a trait transmitted only in the female line [n]"
hologyny	a trait transmitted only in the female line [n hologynies]
holohedra	"holohedron, a geometrical form possessing the property of holohedrism [n]"
holohedral	"having all the planes required by complete symmetry, as opposed to hemihedral [adj]"
holohedrism	the property of having the full number of symmetrically arranged planes crystallographically possible [n -s]
holohedrisms	"holohedrism, the property of having the full number of symmetrically arranged planes crystallographically possible [n]"
holohedron	a geometrical form possessing the property of holohedrism [n holohedra or holohedrons]
holohedrons	"holohedron, a geometrical form possessing the property of holohedrism [n]"
holometabolic	"exhibiting holometabolism, complete metamorphosis [adj]"
holometabolism	"of an insect, complete metabolism [n -s]"
holometabolisms	"holometabolism, of an insect, complete metabolism [n]"
holometabolous	characterized by complete metamorphosis [adj]
holomorphic	"of a function of a complex variable, having a derivative at each point of its domain [adj]"
holon	"an autonomous self-reliant unit, esp. in manufacturing [n -s]"
holonic	relating to a holon [adj]
holons	"holon, an autonomous self-reliant unit, esp. in manufacturing [n]"
holophotal	"of reflectors, throwing back the rays of light without perceptible loss [adj]"
holophote	an apparatus by which all the light from a lighthouse is thrown in the required direction [n -s]
holophotes	"holophote, an apparatus by which all the light from a lighthouse is thrown in the required direction [n]"
holophrase	a single word expressing a sentence or phrase [n -s]
holophrases	"holophrase, a single word expressing a sentence or phrase [n]"
holophrastic	"of or like a holophrase, a single word expressing a sentence or phrase [adj]"
holophyte	a plant maintained entirely by its own organs [n -s]
holophytes	"holophyte, a plant maintained entirely by its own organs [n]"
holophytic	obtaining food by photosynthesis [adj]
holophytism	"the property of being holophytic, obtaining food by photosynthesis [n -s]"
holophytisms	"holophytism, the property of being holophytic, obtaining food by photosynthesis [n]"
holoplankton	organisms which remain as plankton throughout their whole life cycle [n -s]
holoplanktons	"holoplankton, organisms which remain as plankton throughout their whole life cycle [n]"
holoptic	having eyes meeting in front [adj]
holos	"holo, (short for) hologram [n]"
holosteric	totally solid [adj]
holothurian	"any member of a class of wormlike unarmoured echinoderms, aka sea cucumbers [n -s]"
holothurians	"holothurian, any member of a class of wormlike unarmoured echinoderms, aka sea cucumbers [n]"
holotype	the original type specimen of an animal or plant [n -s]
holotypes	"holotype, the original type specimen of an animal or plant [n]"
holotypic	"relating to a holotype, an original type specimen used in defining and describing a species or variety [adj]"
holozoic	"obtaining food by eating complex matter, in the manner of an animal [adj]"
holp	"help, to give aid [v]"
holpen	"help, to give aid [v]"
hols	(colloquial) holidays [n]
holstein	a breed of cattle [n -s]
holsteins	"holstein, a breed of cattle [n]"
holster	"a case for a gun [n -s] / to place in a holster [v -ed, -ing, -s]"
holstered	"holster, to place in a holster [v]"
holstering	"holster, to place in a holster [v]"
holsters	"holster, to place in a holster [v]"
holt	"the lair or den of an animal, esp. an otter [n -s]"
holts	"holt, the lair or den of an animal, esp. an otter [n]"
holubtsi	(polish) cabbage rolls [n]
holy	"perfect in a moral sense [adj holier, holiest, holily] / a sacred place [n holies]"
holydam	"(shakespeare) holiness, a holy place, esp. in an oath, also halidom, halidome, hollidam, holydame [n -s]"
holydame	"(shakespeare) holiness, a holy place, esp. in an oath, also halidom, halidome, hollidam, holydam [n -s]"
holydames	"holydame, (shakespeare) holiness, a holy place, esp. in an oath, also halidom, halidome, hollidam, holydam [n]"
holydams	"holydam, (shakespeare) holiness, a holy place, esp. in an oath, also halidom, halidome, hollidam, holydame [n]"
holyday	a religious holiday [n -s]
holydays	"holyday, a religious holiday [n]"
holystone	"a sandstone material used to scrape ships' decks [n -s] / to scrape a deck with holystone [v holystoned, holystoning, holystones]"
holystoned	"holystone, to scrape a deck with holystone [v]"
holystones	"holystone, a sandstone material used to scrape ships' decks [n]"
holystoning	"holystone, to scrape a deck with holystone [v]"
holytide	a time of religious observance [n -s]
holytides	"holytide, a time of religious observance [n]"
hom	"(persian) a sacred plant of the ancient persians, also haoma, homa [n -s]"
homa	"a sacred plant of the ancient persians, also hom [n -s]"
homage	"to pay tribute to [v homaged, homaging, homages]"
homaged	"homage, to pay tribute to [v]"
homager	a feudal vassal [n -s]
homagers	"homager, a feudal vassal [n]"
homages	"homage, to pay tribute to [v]"
homaging	"homage, to pay tribute to [v]"
homalographic	"of a map projection, showing area accurately and therefore distorting shape and direction, also homolographic [adj]"
homaloid	"a euclidean space, analogous to a plane [n -s]"
homaloidal	of the nature of a homaloid; flat; plane-shaped [adj]
homaloids	"homaloid, a euclidean space, analogous to a plane [n]"
homas	"homa, a sacred plant of the ancient persians, also hom [n]"
hombre	a fellow [n -s]
hombres	"hombre, a fellow [n]"
homburg	a felt hat [n -s]
homburgs	"homburg, a felt hat [n]"
home	"to return to a place of residence [v homed, homing, homes]"
homebird	a person who is reluctant to leave their hometown or their childhood home [n -s]
homebirds	"homebird, a person who is reluctant to leave their hometown or their childhood home [n]"
homebirth	the act of giving birth to a child in one's own home [n -s]
homebirths	"homebirth, the act of giving birth to a child in one's own home [n]"
homebodies	"homebody, one who likes to stay at home [n]"
homebody	one who likes to stay at home [n homebodies]
homebound	stuck at home [adj]
homeboy	"a member of a youth gang, also homey, homie [n -s]"
homeboys	"homeboy, a member of a youth gang, also homey, homie [n]"
homebred	a home-brewed beer [n -s]
homebreds	"homebred, a home-brewed beer [n]"
homebrew	an alcoholic beverage made at home [n -s]
homebrews	"homebrew, an alcoholic beverage made at home [n]"
homebuilt	built at home [adj]
homebuyer	one who is buying a home [n -s]
homebuyers	"homebuyer, one who is buying a home [n]"
homecomer	a person coming home [n -s]
homecomers	"homecomer, a person coming home [n]"
homecoming	a return home [n -s]
homecomings	"homecoming, a return home [n]"
homecraft	a craft practised at home [n -s]
homecrafts	"homecraft, a craft practised at home [n]"
homed	"home, to return to a place of residence [v]"
homefelt	"felt in one's breast, inward [adj]"
homegirl	a girl or woman from one's neighborhood [n -s]
homegirls	"homegirl, a girl or woman from one's neighborhood [n]"
homegrown	"produced in one's own country, or garden [adj]"
homeland	one's native land [n -s]
homelands	"homeland, one's native land [n]"
homeless	without a home [adj]
homelessness	the state of being homeless [n -es]
homelessnesses	"homelessness, the state of being homeless [n]"
homelier	"homely, unattractive [adj]"
homeliest	"homely, unattractive [adj]"
homelike	like a home [adj]
homelily	"homely, unattractive [adv]"
homeliness	the state of being homely [n -es]
homelinesses	"homeliness, the state of being homely [n]"
homely	"unattractive [adj homelier, homeliest, homelily]"
homelyn	the spotted ray [n -s]
homelyns	"homelyn, the spotted ray [n]"
homemade	made at home [adj]
homemaker	a housewife or house-husband [n -s]
homemakers	"homemaker, a housewife or house-husband [n]"
homemaking	the making of a home [n -s]
homemakings	"homemaking, the making of a home [n]"
homeobox	"a short dna sequence, also homoeobox [n -es]"
homeoboxes	"homeobox, a short dna sequence, also homoeobox [n]"
homeomeric	"having all the somites alike, also homeomerous, homoeomeric, homoeomerous, homoiomerous [adj]"
homeomeries	"homeomery, the state of being homoeomeric, having all the somites alike, also homoeomery [n]"
homeomerous	"having all the somites alike, also homeomeric, homoeomeric, homoeomerous, homoiomerous [adj]"
homeomery	"the state of being homoeomeric, having all the somites alike, also homoeomery [n homeomeries]"
homeomorph	"a thing similar in form from another but essentially different, also homoeomorph [n -s]"
homeomorphic	relating to homeomorphism [adj]
homeomorphies	"homeomorphy, the state of being homeomorphic, also homomorphy [n]"
homeomorphism	one-to-one correspondence of two geometric figures that is continuous in both directions [n -s]
homeomorphisms	"homeomorphism, one-to-one correspondence of two geometric figures that is continuous in both directions [n]"
homeomorphous	like a homeomorph [adj]
homeomorphs	"homeomorph, a thing similar in form from another but essentially different, also homoeomorph [n]"
homeomorphy	"the state of being homeomorphic, also homomorphy [n homeomorphies]"
homeopath	"a practitioner of homeopathy, also homeopathist, homoeopath, homoeopathist [n -s]"
homeopathic	of or relating to homeopathy [adj homeopathically]
homeopathically	"homeopathic, of or relating to homeopathy [adv]"
homeopathies	"homeopathy, the use of minute quantities of medications that in large amounts, produce symptoms like those of the disease being treated, also homoeopathy [n]"
homeopathist	"one who practises homeopathy, also homeopath, homoeopath, homoeopathist [n -s]"
homeopathists	"homeopathist, one who practises homeopathy, also homeopath, homoeopath, homoeopathist [n]"
homeopaths	"homeopath, a practitioner of homeopathy, also homeopathist, homoeopath, homoeopathist [n]"
homeopathy	"the use of minute quantities of medications that in large amounts, produce symptoms like those of the disease being treated, also homoeopathy [n homeopathies]"
homeoses	"homeosis, the assumption of the character of a corresponding member of another whorl or somite, also homoeosis [n]"
homeosis	"the assumption of the character of a corresponding member of another whorl or somite, also homoeosis [n homeoses]"
homeostases	"homeostasis, a tendency towards health or stable physical conditions, also homoeostasis [n]"
homeostasis	"a tendency towards health or stable physical conditions, also homoeostasis [n homeostases]"
homeostatic	"relating to homeostasis, a tendency towards health or stable physical conditions, also homoeostatic [adj]"
homeoteleuton	the use or occurrence of similar endings [n -s]
homeoteleutons	"homeoteleuton, the use or occurrence of similar endings [n]"
homeotherm	an organism that maintains the same temperature [n -s]
homeothermal	"keeping the same temperature, warm-blooded, also homoeothermal, homoeothermic, homoeothermous, homoiothermal, homothermal, homothermic [adj]"
homeothermic	"keeping the same temperature, warm-blooded, also homoiothermic [adj]"
homeothermies	"homeothermy, the maintenance of a constant body temperature, also homeothermism, homoiothermy, homothermy [n]"
homeothermism	"the maintenance of a constant body temperature, also homeothermy, homoiothermy, homothermy [n -s]"
homeothermisms	"homeothermism, the maintenance of a constant body temperature, also homeothermy, homoiothermy, homothermy [n]"
homeothermous	"keeping the same temperature, warm-blooded [adj]"
homeotherms	"homeotherm, an organism that maintains the same temperature [n]"
homeothermy	"the maintenance of a constant body temperature, also homeothermism, homoiothermy, homothermy [n homeothermies]"
homeotic	"showing, depending on, or characterized by homeosis, also homoeotic [adj]"
homeotypic	"denoting or relating to the second nuclear division of meiosis, which resembles mitosis, also homoeotypic [adj]"
homeotypical	"denoting or relating to the second nuclear division of meiosis, which resembles mitosis, also homoeotypical [adj]"
homeowner	one who owns a home [n -s]
homeowners	"homeowner, one who owns a home [n]"
homeownership	the fact of being a homeowner [n -s]
homeownerships	"homeownership, the fact of being a homeowner [n]"
homepage	the main page of a website [n -s]
homepages	"homepage, the main page of a website [n]"
homeplace	a person's home [n -s]
homeplaces	"homeplace, a person's home [n]"
homeport	"to assign a ship to a port [v -ed, -ing, -s]"
homeported	"homeport, to assign a ship to a port [v]"
homeporting	"homeport, to assign a ship to a port [v]"
homeports	"homeport, to assign a ship to a port [v]"
homer	"to hit a home run [v -ed, -ing, -s]"
homered	"homer, to hit a home run [v]"
homeric	"grand, imposing [adj]"
homering	"homer, to hit a home run [v]"
homeroom	the classroom where pupils gather before class [n -s]
homerooms	"homeroom, the classroom where pupils gather before class [n]"
homers	"homer, to hit a home run [v]"
homes	"home, to return to a place of residence [v]"
homeschool	"to teach school subjects to one's children at home [v -ed, -ing, -s]"
homeschooled	"homeschool, to teach school subjects to one's children at home [v]"
homeschooler	"homeschool, to teach school subjects to one's children at home [v]"
homeschoolers	homeschooler [n]
homeschooling	"homeschool, to teach school subjects to one's children at home [v]"
homeschools	"homeschool, to teach school subjects to one's children at home [v]"
homescreetch	the mistle thrush [n -es]
homescreetches	"homescreetch, the mistle thrush [n]"
homeshoring	"the transfer of service industry employment from offices to home-based employees with appropriate telephone and internet facilities, also homesourcing [n -s]"
homeshorings	"homeshoring, the transfer of service industry employment from offices to home-based employees with appropriate telephone and internet facilities, also homesourcing [n]"
homesick	longing for home [adj]
homesickness	the state of being homesick [n -es]
homesicknesses	"homesickness, the state of being homesick [n]"
homesite	one's own site on the internet [n -s]
homesites	"homesite, one's own site on the internet [n]"
homesourcing	"the transfer of service industry employment from offices to home-based employees with appropriate telephone and internet facilities, also homeshoring [n -s]"
homesourcings	"homesourcing, the transfer of service industry employment from offices to home-based employees with appropriate telephone and internet facilities, also homeshoring [n]"
homespun	cloth made of yarn spun at home; a material resembling this [n -s]
homespuns	"homespun, cloth made of yarn spun at home; a material resembling this [n]"
homestall	a homestead [n -s]
homestalls	"homestall, a homestead [n]"
homestand	a series of games played at a team's home ground [n -s]
homestands	"homestand, a series of games played at a team's home ground [n]"
homestay	the time during which a foreigner lives with a local family [n -s]
homestays	"homestay, the time during which a foreigner lives with a local family [n]"
homestead	a dwelling-house with outhouses and enclosures immediately connected with it [n -s]
homesteaded	homestead [v]
homesteader	one who occupies a homestead [n -s]
homesteaders	"homesteader, one who occupies a homestead [n]"
homesteading	homestead [v]
homesteadings	homesteading [n]
homesteads	"homestead, a dwelling-house with outhouses and enclosures immediately connected with it [n]"
homestretch	the part of a racecourse between the last turn and the winning post [n -es]
homestretches	"homestretch, the part of a racecourse between the last turn and the winning post [n]"
hometown	the town of one's birth or residence [n -s]
hometowns	"hometown, the town of one's birth or residence [n]"
homeward	"in the direction of home, also hamewith, homewards [adv]"
homewards	"in the direction of home, also hamewith, homeward [adv]"
homeware	the things that furnish a home [n -s]
homewares	"homeware, the things that furnish a home [n]"
homework	work done at home [n -s]
homeworker	a worker who works from home [n -s]
homeworkers	"homeworker, a worker who works from home [n]"
homeworking	working from home [n -s]
homeworkings	"homeworking, working from home [n]"
homeworks	"homework, work done at home [n]"
homey	"home-loving [adj homier, homiest] / (colloquial) a member of a youth gang, also homeboy, homie [n -s]"
homeyness	"being homey, also hominess [n -es]"
homeynesses	"homeyness, being homey, also hominess [n]"
homeys	"homey, (colloquial) a member of a youth gang, also homeboy, homie [n]"
homicidal	related to homicide [adj homicidally]
homicidally	"homicidal, related to homicide [adv]"
homicide	the killing of one person by another [n -s]
homicides	"homicide, the killing of one person by another [n]"
homie	"a member of a youth gang, also homey, homeboy [n -s]"
homier	"homy, homelike, also homey [adj]"
homies	"homie, a member of a youth gang, also homey, homeboy [n]"
homiest	"homy, homelike, also homey [adj]"
homiletic	"relating to homily or the art of preaching, also homiletical [adj homiletics, homiletically]"
homiletical	"relating to homily or the art of preaching, also homiletic [adj homiletically]"
homiletically	"homiletical, relating to homily or the art of preaching, also homiletic [adv]"
homiletics	the art of preaching [n]
homilies	"homily, a sermon [n]"
homilist	one who delivers a sermon [n -s]
homilists	"homilist, one who delivers a sermon [n]"
homily	a sermon [n homilies]
homines	"homo, (latin) man generically [n]"
hominess	the quality of being homey [n -es]
hominesses	"hominess, the quality of being homey [n]"
homing	the way missiles guide themselves to a target [n -s]
homings	"homing, the way missiles guide themselves to a target [n]"
hominian	"a manlike creature, also hominid [n -s]"
hominians	"hominian, a manlike creature, also hominid [n]"
hominid	"a manlike creature, also hominian [n -s]"
hominids	"hominid, a manlike creature, also hominian [n]"
hominies	"hominy, hulled, dry corn [n]"
hominin	"any member of the taxonomic tribe hominini, usu taken to comprise humans and their direct ancestors, but sometimes taken, also to include chimpanzees [n -s]"
hominine	characteristic of man [adj]
hominins	"hominin, any member of the taxonomic tribe hominini, usu taken to comprise humans and their direct ancestors, but sometimes taken, also to include chimpanzees [n]"
hominisation	"the evolutionary development of human characteristics that differentiate hominids from their primate ancestors, also hominization [n -s]"
hominisations	"hominisation, the evolutionary development of human characteristics that differentiate hominids from their primate ancestors, also hominization [n]"
hominise	"to alter the environment to conform with evolving man, also hominize [v hominised, hominising, hominises]"
hominised	"hominise, to alter the environment to conform with evolving man, also hominize [v]"
hominises	"hominise, to alter the environment to conform with evolving man, also hominize [v]"
hominising	"hominise, to alter the environment to conform with evolving man, also hominize [v]"
hominization	"the evolutionary development of human characteristics that differentiate hominids from their primate ancestors, also hominisation [n -s]"
hominizations	"hominization, the evolutionary development of human characteristics that differentiate hominids from their primate ancestors, also hominisation [n]"
hominize	"to alter the environment to conform with evolving man, also hominise [v hominized, hominizing, hominizes]"
hominized	"hominize, to alter the environment to conform with evolving man, also hominise [v]"
hominizes	"hominize, to alter the environment to conform with evolving man, also hominise [v]"
hominizing	"hominize, to alter the environment to conform with evolving man, also hominise [v]"
hominoid	"a member of the superfamily hominoidea, comprising man and modern apes and their extinct ancestors, also hominian [n -s]"
hominoids	"hominoid, a member of the superfamily hominoidea, comprising man and modern apes and their extinct ancestors, also hominian [n]"
hominy	"hulled, dry corn [n hominies]"
homme	(french) a man [n -s]
hommes	"homme, (french) a man [n]"
hommock	"(archaic) a ridge in an ice field, also hummock [n -s]"
hommocks	"hommock, (archaic) a ridge in an ice field, also hummock [n]"
hommos	"(turkish) a middle eastern hors d'oeuvre of pureed chickpea and sesame oil, also hoummos, houmous, houmus, hummus, humouses [n -es]"
hommoses	"hommos, (turkish) a middle eastern hors d'oeuvre of pureed chickpea and sesame oil, also hoummos, houmous, houmus, hummus, humouses [n]"
homo	(latin) man generically [n homines] / (slang) a homosexual [n -s]
homoblastic	derived from similar cells; showing direct embryonic development [adj]
homoblasties	"homoblasty, the state of being homoblastic, derived from similar cells [n]"
homoblasty	"the state of being homoblastic, derived from similar cells [n homoblasties]"
homocentric	having the same central or focal point [adj homocentrically]
homocentrically	"homocentric, having the same central or focal point [adv]"
homocercal	"of fishes, having the upper and lower lobes of the tailfin alike [adj]"
homocercies	"homocercy, the condition in fish of having a symmetrical tail [n]"
homocercy	the condition in fish of having a symmetrical tail [n homocercies]
homochlamydeous	with calyx and corolla similar [adj]
homochromatic	monochromatic [adj]
homochromatism	the state of being homochromatic [n -s]
homochromatisms	"homochromatism, the state of being homochromatic [n]"
homochromies	"homochromy, protective coloration [n]"
homochromous	monochromatic [adj]
homochromy	protective coloration [n homochromies]
homocyclic	having a closed chain of similar atoms [adj]
homocysteine	a kind of amino acid [n -s]
homocysteines	"homocysteine, a kind of amino acid [n]"
homodont	having teeth all alike [adj]
homodyne	describing a boosted radio reception [adj]
homoeobox	"of genes, that regulate the development of multicellular animals and plants, also homeobox [adj]"
homoeomeric	"having all the somites alike, also homeomeric, homeomerous, homoeomerous, homoiomerous [adj]"
homoeomeries	"homoeomery, the state of being homoeomeric, having all the somites alike, also homeomery [n]"
homoeomerous	"having all the somites alike, also homeomeric, homeomerous, homoeomeric, homoiomerous [adj]"
homoeomery	"the state of being homoeomeric, having all the somites alike, also homeomery [n homoeomeries]"
homoeomorph	"a thing similar in form from another but essentially different, also homeomorph [n -s]"
homoeomorphic	"of two geometrical figures, such that one can be converted into the other by distortion [adj]"
homoeomorphies	"homoeomorphy, the state of being homoeomorphy [n]"
homoeomorphism	the state of being homoeomorphic [n -s]
homoeomorphisms	"homoeomorphism, the state of being homoeomorphic [n]"
homoeomorphous	"of two geometrical figures, such that one can be converted into the other by distortion [adj]"
homoeomorphs	"homoeomorph, a thing similar in form from another but essentially different, also homeomorph [n]"
homoeomorphy	the state of being homoeomorphy [n homoeomorphies]
homoeopath	"a person who believes in or practises homoeopathy, also homeopath, homeopathist, homoeopathist [n -s]"
homoeopathic	"related to homoeopathy, also homeopathic [adj]"
homoeopathies	"homoeopathy, the use of minute quantities of medications that in large amounts, produce symptoms like those of the disease being treated, also homeopathy [n]"
homoeopathist	"one who practises homoeopathy, also homeopath, homeopathist, homoeopath [n -s]"
homoeopathists	"homoeopathist, one who practises homoeopathy, also homeopath, homeopathist, homoeopath [n]"
homoeopaths	"homoeopath, a person who believes in or practises homoeopathy, also homeopath, homeopathist, homoeopathist [n]"
homoeopathy	"the use of minute quantities of medications that in large amounts, produce symptoms like those of the disease being treated, also homeopathy [n homoeopathies]"
homoeoses	"homoeosis, the assumption of the character of a corresponding member of another whorl or somite, also homeosis [n]"
homoeosis	"the assumption of the character of a corresponding member of another whorl or somite, also homeosis [n homoeoses]"
homoeostases	"homoeostasis, a tendency towards health or stable physical conditions, also homeostasis [n]"
homoeostasis	"a tendency towards health or stable physical conditions, also homeostasis [n homoeostases]"
homoeostatic	relating to homoeostasis [adj]
homoeoteleuton	"the use of words with similar endings in close proximity, also homeoteleuton [n -s]"
homoeoteleutons	"homoeoteleuton, the use of words with similar endings in close proximity, also homeoteleuton [n]"
homoeotherm	"an animal or organism that keeps its body at an almost constant temperature, also homeotherm, homoiotherm [n -s]"
homoeothermal	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermic, homoeothermous, homoiothermal, homothermal, homothermic [adj]"
homoeothermic	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermal, homoeothermous, homoiothermal, homothermal, homothermic [adj]"
homoeothermous	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermal, homoeothermic, homoiothermal, homothermal, homothermic [adj]"
homoeotherms	"homoeotherm, an animal or organism that keeps its body at an almost constant temperature, also homeotherm, homoiotherm [n]"
homoeotic	"showing, depending on, or characterized by homeosis, also homeotic [adj]"
homoeotypic	"denoting or relating to the second nuclear division of meiosis, which resembles mitosis, also homeotypic [adj]"
homoeotypical	"denoting or relating to the second nuclear division of meiosis, which resembles mitosis, also homeotypical [adj]"
homoerotic	loving one of the same sex [adj]
homoeroticism	"homosexuality, also homoerotism [n -s]"
homoeroticisms	"homoeroticism, homosexuality, also homoerotism [n]"
homoerotism	"homosexuality, also homoeroticism [n -s]"
homoerotisms	"homoerotism, homosexuality, also homoeroticism [n]"
homogametic	forming gametes which all have the same type of sex chromosome [adj]
homogamic	"breeding like with like, inbreeding [adj]"
homogamies	"homogamy, breeding of like with like [n]"
homogamous	"of a flower, having the anthers and stigmas maturing together, so as to permit self-fertilization [adj]"
homogamy	breeding of like with like [n homogamies]
homogenate	a substance produced by homogenization [n -s]
homogenates	"homogenate, a substance produced by homogenization [n]"
homogeneities	"homogeneity, the state of being homogeneous [n]"
homogeneity	the state of being homogeneous [n homogeneities]
homogeneous	of a uniform consistency [adj homogeneously]
homogeneously	"homogeneous, of a uniform consistency [adv]"
homogeneousness	the state of being homogeneous [n]
homogeneses	"homogenesis, a mode of reproduction in which the offspring is like the parent, and passes through the same cycle of existence [n]"
homogenesis	"a mode of reproduction in which the offspring is like the parent, and passes through the same cycle of existence [n homogeneses]"
homogenetic	"homogeneous, also homogenetical [adj]"
homogenetical	"homogeneous, also homogenetic [adj]"
homogenies	"homogeny, similarity due to origin [n]"
homogenisation	"the act of homogenising, also homogenization [n -s]"
homogenisations	"homogenisation, the act of homogenising, also homogenization [n]"
homogenise	"to make homogeneous, also homogenize [v homogenised, homogenising, homogenises]"
homogenised	"homogenise, to make homogeneous, also homogenize [v]"
homogeniser	"an agent that homogenises, also homogenizer [n -s]"
homogenisers	"homogeniser, an agent that homogenises, also homogenizer [n]"
homogenises	"homogenise, to make homogeneous, also homogenize [v]"
homogenising	"homogenise, to make homogeneous, also homogenize [v]"
homogenization	"the act of homogenizing, also homogenisation [n -s]"
homogenizations	"homogenization, the act of homogenizing, also homogenisation [n]"
homogenize	"to make homogeneous, also homogenise [v homogenized, homogenizing, homogenizes]"
homogenized	"homogenize, to make homogeneous, also homogenise [v]"
homogenizer	"an agent that homogenizes, also homogeniser [n -s]"
homogenizers	"homogenizer, an agent that homogenizes, also homogeniser [n]"
homogenizes	"homogenize, to make homogeneous, also homogenise [v]"
homogenizing	"homogenize, to make homogeneous, also homogenise [v]"
homogenous	"having a resemblance in structure, due to descent from a common progenitor with subsequent modification [adj]"
homogeny	similarity due to origin [n homogenies]
homogonies	"homogony, the condition of having flowers with uniform stamens and pistils [n]"
homogonous	"exhibiting homogony, the condition of having flowers of equal size [adj homogonously]"
homogonously	"homogonous, exhibiting homogony, the condition of having flowers of equal size [adv]"
homogony	the condition of having flowers with uniform stamens and pistils [n homogonies]
homograft	a graft from one individual to another unrelated individual of the same species [n -s]
homografts	"homograft, a graft from one individual to another unrelated individual of the same species [n]"
homograph	"one of two or more words that have the same spelling but differ in origin, meaning, and sometimes pronunciation e.g. bow (in hair) and bow (of a ship) [n -s]"
homographic	having a different symbol for each sound [adj]
homographies	"homography, a type of transformation that maps straight lines onto another plane [n]"
homographs	"homograph, one of two or more words that have the same spelling but differ in origin, meaning, and sometimes pronunciation e.g. bow (in hair) and bow (of a ship) [n]"
homography	a type of transformation that maps straight lines onto another plane [n homographies]
homoiomerous	"having all the somites alike, also homeomeric, homeomerous, homoeomeric, homoeomerous [adj]"
homoiotherm	"a warm-blooded animal, also homeotherm, homoeotherm [n -s]"
homoiothermal	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermal, homoeothermic, homoeothermous, homothermal, homothermic [adj]"
homoiothermic	"keeping the same temperature, warm-blooded, also homeothermic, homoeothermic [adj]"
homoiothermies	"homoiothermy, the maintenance of a constant body temperature, also homeothermism, homeothermy, homothermy [n]"
homoiotherms	"homoiotherm, a warm-blooded animal, also homeotherm, homoeotherm [n]"
homoiothermy	"the maintenance of a constant body temperature, also homeothermism, homeothermy, homothermy [n homoiothermies]"
homoiousian	"one of those, in the 4th century maintained that the son had a like but not the same essence or substance with the father [n -s]"
homoiousians	"homoiousian, one of those, in the 4th century maintained that the son had a like but not the same essence or substance with the father [n]"
homolog	anything that is homologous to something else [n -s]
homologate	"to sanction, allow esp. officially [v homologated, homologating, homologates]"
homologated	"homologate, to sanction, allow esp. officially [v]"
homologates	"homologate, to sanction, allow esp. officially [v]"
homologating	"homologate, to sanction, allow esp. officially [v]"
homologation	"confirmation, agreement [n -s]"
homologations	"homologation, confirmation, agreement [n]"
homologic	relating to homology [adj homologically]
homological	"having the same relative structure, also homologous [adj homologically]"
homologically	"homological, having the same relative structure, also homologous [adv]"
homologies	"homology, similarity in structure and origin [n]"
homologise	"to determine the homologies or structural relations of, also homologize [v homologised, homologising, homologises]"
homologised	"homologise, to determine the homologies or structural relations of, also homologize [v]"
homologiser	"one who homologises, also homologizer [n -s]"
homologisers	"homologiser, one who homologises, also homologizer [n]"
homologises	"homologise, to determine the homologies or structural relations of, also homologize [v]"
homologising	"homologise, to determine the homologies or structural relations of, also homologize [v]"
homologize	"to determine the homologies or structural relations of, also homologise [v homologized, homologizing, homologizes]"
homologized	"homologize, to determine the homologies or structural relations of, also homologise [v]"
