
za	(slang) pizza [n -s]
zoophobous	having an abnormal fear of animals [adj]
zoophori	"zoophorus, a continuous frieze in relief, with people and animals [n]"
zoophoric	"bearing or supporting the figure of an animal; as, a zoophoric column [adj]"
zoophorus	"a continuous frieze in relief, with people and animals [n zoophori]"
zoophysiologies	"zoophysiology, the study of animal physiology [n]"
zoophysiologist	a student of animal physiology [n]
zoophysiology	the study of animal physiology [n zoophysiologies]
zoophyte	"an animal (such as sponge, coral, sea anemone, etc.) resembling a plant [n -s]"
zoophytes	"zoophyte, an animal (such as sponge, coral, sea anemone, etc.) resembling a plant [n]"
zoophytic	"relating to a zoophyte, a plantlike animal, as coral, sea anemone, etc., also zoophytical [adj]"
zoophytical	"relating to a zoophyte, a plantlike animal, as coral, sea anemone, etc., also zoophytic [adj]"
zoophytoid	"pertaining to, or resembling, a zoophyte [adj]"
zoophytological	relating to zoophytology [adj]
zoophytologies	"zoophytology, the study of zoophytes, plantlike animals [n]"
zoophytologist	one who studies zoophytes [n -s]
zoophytologists	"zoophytologist, one who studies zoophytes [n]"
zoophytology	"the study of zoophytes, plantlike animals [n zoophytologies]"
zooplankter	a single zooplankton [n -s]
zooplankters	"zooplankter, a single zooplankton [n]"
zooplankton	"tiny, free-floating organisms in aquatic systems [n -s]"
zooplanktonic	relating to zooplankton [adj]
zooplanktons	"zooplankton, tiny, free-floating organisms in aquatic systems [n]"
zooplastic	"relating to zooplasty, the surgical transfer of tissue from an animal to man [adj]"
zooplasties	"zooplasty, the surgical transfer of tissue from an animal to man [n]"
zooplasty	the surgical transfer of tissue from an animal to man [n zooplasties]
zoopsychologies	"zoopsychology, the psychology of the lower animals [n]"
zoopsychology	the psychology of the lower animals [n zoopsychologies]
zoos	"zoo, a home for animals in captivity [n]"
zooscopic	"relating to zooscopy, a kind of hallucination in which imaginary animal forms are seen [adj]"
zooscopies	"zooscopy, a delusion in which you see imaginary animals [n]"
zooscopy	a delusion in which you see imaginary animals [n zooscopies]
zoosperm	"one of the spermatic particles; a spermatozoid, also zoospermium [n -s]"
zoospermatic	of or like a zoosperm [adj]
zoospermia	"zoospermium, one of the spermatic particles; a spermatozoid, also zoosperm [n]"
zoospermium	"one of the spermatic particles; a spermatozoid, also zoosperm [n zoospermia]"
zoosperms	"zoosperm, one of the spermatic particles; a spermatozoid, also zoospermium [n]"
zoosporangia	"zoosporangium, a spore case or sporangium bearing zoospores [n]"
zoosporangial	relating to zoosporangia [adj]
zoosporangium	a spore case or sporangium bearing zoospores [n zoosporangia]
zoospore	"a motile flagellated spore, occurring in certain algae, fungi, and protozoans [n -s]"
zoospores	"zoospore, a motile flagellated spore, occurring in certain algae, fungi, and protozoans [n]"
zoosporic	of or pertaining to zoospores [adj]
zoosporous	"of or like a zoospore, a swarm-spore [adj]"
zoosterol	"a sterol, such as cholesterol, of animal origin [n -s]"
zoosterols	"zoosterol, a sterol, such as cholesterol, of animal origin [n]"
zoot	"as in zoot suit, a man's suit consisting of baggy trousers with tapered bottoms and a long jacket with wide padded shoulders [adj]"
zootaxies	"zootaxy, systematic zoology [n]"
zootaxy	systematic zoology [n zootaxies]
zootechnical	of or relating to the technology of animal husbandry [adj]
zootechnics	the science of breeding animals [n]
zootechnies	"zootechny, the breeding and taming of animals [n]"
zootechny	the breeding and taming of animals [n zootechnies]
zoothapses	"zoothapsis, premature burial [n]"
zoothapsis	premature burial [n zoothapses]
zoothecia	"zoothecium, the tubular sheath of certain infusorians [n]"
zoothecial	"of or like a zoothecium, the tubular sheath of certain infusorians [adj]"
zoothecium	the tubular sheath of certain infusorians [n zoothecia]
zootheism	the attribution of divine qualities to animals [n -s]
zootheisms	"zootheism, the attribution of divine qualities to animals [n]"
zootheistic	"relating to zootheism, the attribution of divine qualities to animals [adj]"
zootherapies	"zootherapy, veterinary therapeutics [n]"
zootherapy	veterinary therapeutics [n zootherapies]
zoothome	"a group of zooids, such as a mass of coral [n -s]"
zoothomes	"zoothome, a group of zooids, such as a mass of coral [n]"
zootier	"zooty, flashy in manner or style [adj]"
zootiest	"zooty, flashy in manner or style [adj]"
zootomic	"relating to zootomy, the dissection of animals, also zootomical [adj zootomically]"
zootomical	"relating to zootomy, the dissection of animals, also zootomic [adj zootomically]"
zootomically	"zootomical, relating to zootomy, the dissection of animals, also zootomic [adv]"
zootomies	"zootomy, the dissection of animals [n]"
zootomist	"one who dissects animals, or is skilled in zootomy [n -s]"
zootomists	"zootomist, one who dissects animals, or is skilled in zootomy [n]"
zootomy	the dissection of animals [n zootomies]
zootoxic	"relating to a zootoxin, a poison derived from an animal [adj]"
zootoxin	a toxin produced by an animal [n -s]
zootoxins	"zootoxin, a toxin produced by an animal [n]"
zootrope	"(greek) a slotted rotating cylinder producing primitive animation, also zoetrope [n -s]"
zootropes	"zootrope, (greek) a slotted rotating cylinder producing primitive animation, also zoetrope [n]"
zootrophic	of or pertaining to the nourishment of animals [adj]
zootrophies	"zootrophy, the feeding of animals [n]"
zootrophy	the feeding of animals [n zootrophies]
zootsuiter	someone who wears a zoot suit [n -s]
zootsuiters	"zootsuiter, someone who wears a zoot suit [n]"
zooty	"flashy in manner or style [adj zootier, zootiest]"
zootype	an animal serving as a type [n -s]
zootypes	"zootype, an animal serving as a type [n]"
zootypic	"of or like a zootype, an animal serving as a type [adj]"
zooxanthella	a symbiotic dinoflagellate of the genus symbiodinium that lives in the tissues of a number of marine invertebrates and protists [n zooxanthellae]
zooxanthellae	"zooxanthella, a symbiotic dinoflagellate of the genus symbiodinium that lives in the tissues of a number of marine invertebrates and protists [n]"
zoozoo	the wood-pigeon [n -s]
zoozoos	"zoozoo, the wood-pigeon [n]"
zopilote	(nahuatl) the urubu or american black vulture [n -s]
zopilotes	"zopilote, (nahuatl) the urubu or american black vulture [n]"
zoppa	"(italian) having a syncopated or temporarily changing accent of a beat, also zoppo [adj]"
zoppo	"(italian) having a syncopated or temporarily changing accent of a beat, also zoppa [adj]"
zorbing	"a recreational activity, rolling downhill inside a large ball [n -s]"
zorbings	"zorbing, a recreational activity, rolling downhill inside a large ball [n]"
zorbonaut	one who engages in zorbing [n -s]
zorbonauts	"zorbonaut, one who engages in zorbing [n]"
zorgite	a metallic copper-lead selenide [n -s]
zorgites	"zorgite, a metallic copper-lead selenide [n]"
zori	(japanese) a japanese sandal consisting of a flat sole with a thong between the toes [n -s]
zoril	"a small african mammal, also zorilla, zorille, zorillo [n -s]"
zorilla	"a small african mammal, also zoril, zorille, zorillo [n -s]"
zorillas	"zorilla, a small african mammal, also zoril, zorille, zorillo [n]"
zorille	"a small african mammal, also zoril, zorilla, zorillo [n -s]"
zorilles	"zorille, a small african mammal, also zoril, zorilla, zorillo [n]"
zorillo	"a small african mammal, also zoril, zorilla, zorille [n -s]"
zorillos	"zorillo, a small african mammal, also zoril, zorilla, zorille [n]"
zorils	"zoril, a small african mammal, also zorilla, zorille, zorillo [n]"
zorino	(spanish) a euphemism for skunk fur as used to make garments [n -s]
zorinos	"zorino, (spanish) a euphemism for skunk fur as used to make garments [n]"
zoris	"zori, (japanese) a japanese sandal consisting of a flat sole with a thong between the toes [n]"
zorro	(spanish) a kind of south american fox [n -s]
zorros	"zorro, (spanish) a kind of south american fox [n]"
zos	"zo, (tibetan) a cross between a yak and a cow, also dso, dzho, dzo, zho [n]"
zoster	(greek) an ancient greek waistbelt for men [n -s]
zosters	"zoster, (greek) an ancient greek waistbelt for men [n]"
zouave	a french infantry man who wears arab dress [n -s]
zouaves	"zouave, a french infantry man who wears arab dress [n]"
zouk	a style of caribbean dance music [n -s]
zouks	"zouk, a style of caribbean dance music [n]"
zounds	(archaic) a mild oath (god's wounds) [interj]
zowee	"an interjection of surprise, also zowie [interj]"
zowie	"an interjection of surprise, also zowee [interj]"
zoysia	a kind of perennial grass [n -s]
zoysias	"zoysia, a kind of perennial grass [n]"
zucchetti	"zucchetto, (italian) a round skullcap worn by catholic clergy to indicate rank, also zuchetta, zuchetto [n]"
zucchetto	"(italian) a round skullcap worn by catholic clergy to indicate rank, also zuchetta, zuchetto [n zucchettos or zucchetti]"
zucchettos	"zucchetto, (italian) a round skullcap worn by catholic clergy to indicate rank, also zuchetta, zuchetto [n]"
zucchini	(italian) a courgette [n -s]
zucchinis	"zucchini, (italian) a courgette [n]"
zuchetta	"(italian) a round skullcap worn by catholic clergy to indicate rank, also zucchetto, zuchetto [n -s]"
zuchettas	"zuchetta, (italian) a round skullcap worn by catholic clergy to indicate rank, also zucchetto, zuchetto [n]"
zuchetto	"(italian) a round skullcap worn by catholic clergy to indicate rank, also zucchetto, zuchetta [n -s]"
zuchettos	"zuchetto, (italian) a round skullcap worn by catholic clergy to indicate rank, also zucchetto, zuchetta [n]"
zuffoli	"zuffolo, a small flute to train birds, also zufolo [n]"
zuffolo	"a small flute to train birds, also zufolo [n zuffoli]"
zufoli	"zufolo, (italian) a small flute used to train songbirds, also zuffolo [n]"
zufolo	"(italian) a small flute used to train songbirds, also zuffolo [n zufoli or zufolos]"
zufolos	"zufolo, (italian) a small flute used to train songbirds, also zuffolo [n]"
zugzwang	"(german) a situation in a chess game in which a player is forced to make an undesirable or disadvantageous move [n -s] / to place in zugzwang [v -ed, -ing, -s]"
zugzwanged	"zugzwang, to place in zugzwang [v]"
zugzwanging	"zugzwang, to place in zugzwang [v]"
zugzwangs	"zugzwang, to place in zugzwang [v]"
zulu	a type of two-masted fishing vessel formerly used in scotland [n -s]
zulus	"zulu, a type of two-masted fishing vessel formerly used in scotland [n]"
zumbooruk	"(urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zamboorak, zomboruk [n -s]"
zumbooruks	"zumbooruk, (urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zamboorak, zomboruk [n]"
zupa	"(serbian) in early serbia, a confederation of villages, governed by a zupan [n -s]"
zupan	"(serbian) the body governing a zupa, a federation of serbian villages [n -s]"
zupans	"zupan, (serbian) the body governing a zupa, a federation of serbian villages [n]"
zupas	"zupa, (serbian) in early serbia, a confederation of villages, governed by a zupan [n]"
zuppa	(italian) an italian fish soup [n -s]
zuppas	"zuppa, (italian) an italian fish soup [n]"
zurf	"(arabic) an ornamental metal holder for a handleless coffee cup, also zarf [n -s]"
zurfs	"zurf, (arabic) an ornamental metal holder for a handleless coffee cup, also zarf [n]"
zuz	a silver coin of ancient palestine [n zuzim or zuzzim]
zuzim	"zuz, a silver coin of ancient palestine [n]"
zuzzim	"zuz, a silver coin of ancient palestine [n]"
zwanziger	"an old austrian silver coin, equivalent to twenty kreutzers [n -s]"
zwanzigers	"zwanziger, an old austrian silver coin, equivalent to twenty kreutzers [n]"
zwieback	(german) a usually sweetened bread that is baked and then sliced and toasted until dry and crisp [n -s]
zwiebacks	"zwieback, (german) a usually sweetened bread that is baked and then sliced and toasted until dry and crisp [n]"
zwischenzug	"(german) in chess, a temporizing move (i.e. a delay in capturing, usually via a check) [n -s]"
zwischenzugs	"zwischenzug, (german) in chess, a temporizing move (i.e. a delay in capturing, usually via a check) [n]"
zwitterion	an ion carrying both a positive and negative charge [n -s]
zwitterionic	"of or like a zwitterion, an ion carrying both a positive and negative charge [adj]"
zwitterions	"zwitterion, an ion carrying both a positive and negative charge [n]"
zydeco	(creole) a popular music of southern louisiana that combines tunes of french origin with elements of caribbean music and the blues [n -s]
zydecos	"zydeco, (creole) a popular music of southern louisiana that combines tunes of french origin with elements of caribbean music and the blues [n]"
zyga	"zygon, an h shaped fissure of the brain [n]"
zygaenid	"relating to the moth family zygaenidae, that includes burnet moths, also zygaenoid [adj]"
zygaenoid	"relating to the moth family zygaenidae, that includes burnet moths, also zygaenid [adj]"
zygal	formed like the letter h; of or relating to a yoke or union [adj]
zygantra	"zygantrum, extra vertebral articulation in snakes and some lizards [n]"
zygantrum	extra vertebral articulation in snakes and some lizards [n zygantrums or zygantra]
zygantrums	"zygantrum, extra vertebral articulation in snakes and some lizards [n]"
zygapophyseal	"relating to the zygapophysis, also zygapophysial [adj]"
zygapophyses	"zygapophysis, any of the yoke-pieces or articulations of the vertebrae [n]"
zygapophysial	"relating to the zygapophysis, also zygapophyseal [adj]"
zygapophysis	any of the yoke-pieces or articulations of the vertebrae [n zygapophyses]
zygobranch	"a type of gastropod having paired, symmetrically placed gills, also zygobranchiate [n -s]"
zygobranchiate	"a type of gastropod having paired, symmetrically placed gills, also zygobranch [n -s]"
zygobranchiates	"zygobranchiate, a type of gastropod having paired, symmetrically placed gills, also zygobranch [n]"
zygobranchs	"zygobranch, a type of gastropod having paired, symmetrically placed gills, also zygobranchiate [n]"
zygocacti	"zygocactus, a genus of brazilian cactus, aka the christmas cactus [n]"
zygocactus	"a genus of brazilian cactus, aka the christmas cactus [n zygocacti or zygocactuses]"
zygocactuses	"zygocactus, a genus of brazilian cactus, aka the christmas cactus [n]"
zygocardiac	denoting certain paired lateral ossicles in the gastric mill of crustacea [adj]
zygodactyl	"having two toes pointing forward and two backwards [adj] / a bird, such as a woodpecker, having such toes [n -s]"
zygodactylic	having two toes in front and two behind [adj]
zygodactylism	"the state of being zygodactylic, having two toes in front and two behind [n -s]"
zygodactylisms	"zygodactylism, the state of being zygodactylic, having two toes in front and two behind [n]"
zygodactylous	"of or like a zygodactyl, having two toes pointing forward and two backwards [adj]"
zygodactyls	"zygodactyl, a bird, such as a woodpecker, having such toes [n]"
zygodont	relating to molar teeth whose cusps are paired [adj]
zygoid	pertaining to a zygote [adj]
zygoma	the cheekbone [n zygomas or zygomata]
zygomas	"zygoma, the cheekbone [n]"
zygomata	"zygoma, the cheekbone [n]"
zygomatic	"relating to the zygoma, the cheek bone [adj] / the cheek bone [n -s]"
zygomatics	"zygomatic, the cheek bone [n]"
zygomorphic	"bilaterally symmetrical, also zygomorphous [adj]"
zygomorphies	"zygomorphy, the state of having flowers symmetrical about one axis [n]"
zygomorphism	"the state of being zygomorphic, bilaterally symmetrical [n -s]"
zygomorphisms	"zygomorphism, the state of being zygomorphic, bilaterally symmetrical [n]"
zygomorphous	"bilaterally symmetrical, also zygomorphic [adj]"
zygomorphy	the state of having flowers symmetrical about one axis [n zygomorphies]
zygomycete	one of a group of fungi marked by the production of zygospores [n -s]
zygomycetes	"zygomycete, one of a group of fungi marked by the production of zygospores [n]"
zygomycetous	"of or like a zygomycete, one of a group of fungi marked by the production of zygospores [adj]"
zygon	an h shaped fissure of the brain [n zyga]
zygophyllaceous	"belonging to the zygophyllaceae, the bean caper family [adj]"
zygophyte	a plant that reproduces by the union of two similar cells [n -s]
zygophytes	"zygophyte, a plant that reproduces by the union of two similar cells [n]"
zygopleural	bilaterally symmetrical [adj]
zygose	"pertaining to zygosis, the union of two gametes [adj]"
zygoses	"zygosis, the union of two gametes [n]"
zygosis	the union of two gametes [n zygoses]
zygosities	"zygosity, the makeup of a zygote [n]"
zygosity	the makeup of a zygote [n zygosities]
zygosperm	"a spore formed by union of two similar cells, also zygospore [n -s]"
zygosperms	"zygosperm, a spore formed by union of two similar cells, also zygospore [n]"
zygosphene	"a median process on the front part of the neural arch of the vertebrae of most snakes and some lizards, which fits into a fossa, called the zygantrum, on the back part of the arch in front [n -s]"
zygosphenes	"zygosphene, a median process on the front part of the neural arch of the vertebrae of most snakes and some lizards, which fits into a fossa, called the zygantrum, on the back part of the arch in front [n]"
zygospore	"a spore formed by union of two similar cells, also zygosperm [n -s]"
zygospores	"zygospore, a spore formed by union of two similar cells, also zygosperm [n]"
zygosporic	"of or like a zygospore, a spore formed by union of two similar cells [adj]"
zygote	a cell formed from the union of two gametes [n -s]
zygotene	a stage in meiosis [n -s]
zygotenes	"zygotene, a stage in meiosis [n]"
zygotes	"zygote, a cell formed from the union of two gametes [n]"
zygotic	"pertaining to a zygote, a cell formed by the union of two gametes [adj zygotically]"
zygotically	"zygotic, pertaining to a zygote, a cell formed by the union of two gametes [adv]"
zylonite	"a non-thermosetting plastic of the nitrocellulose type, also xylonite [n -s]"
zylonites	"zylonite, a non-thermosetting plastic of the nitrocellulose type, also xylonite [n]"
zymase	an enzyme that converts sugar to alcohol and carbon dioxide [n -s]
zymases	"zymase, an enzyme that converts sugar to alcohol and carbon dioxide [n]"
zyme	a ferment [n -s]
zymes	"zyme, a ferment [n]"
zymic	relating to fermentation [adj]
zymite	a priest who uses leavened bread [n -s]
zymites	"zymite, a priest who uses leavened bread [n]"
zymogen	"a substance that develops into an enzyme, also zymogene [n -s]"
zymogene	"a substance that develops into an enzyme, also zymogen [n -s]"
zymogenes	"zymogene, a substance that develops into an enzyme, also zymogen [n]"
zymogeneses	"zymogenes, zymogene, a substance that develops into an enzyme, also zymogen [n]"
zymogenesis	the conversion of a zymogen into an enzyme [n zymogeneses]
zymogenic	causing fermentation [adj]
zymogens	"zymogen, a substance that develops into an enzyme, also zymogene [n]"
zymogram	a record of separated proteins [n -s]
zymograms	"zymogram, a record of separated proteins [n]"
zymoid	like a ferment [adj]
zymologic	"relating to zymology, the science of fermentation, also zymological [adj]"
zymological	"relating to zymology, the science of fermentation, also zymologic [adj]"
zymologies	"zymology, the science of fermentation [n]"
zymologist	"one who is skilled in zymology, or in the fermentation of liquors [n -s]"
zymologists	"zymologist, one who is skilled in zymology, or in the fermentation of liquors [n]"
zymology	the science of fermentation [n zymologies]
zymolyses	"zymolysis, the action of enzymes [n]"
zymolysis	the action of enzymes [n zymolyses]
zymolytic	"relating to zymolysis, the action of enzymes [adj]"
zymome	an old name for the part of gluten insoluble in alcohol [n -s]
zymomes	"zymome, an old name for the part of gluten insoluble in alcohol [n]"
zymometer	an instrument for measuring fermentation [n -s]
zymometers	"zymometer, an instrument for measuring fermentation [n]"
zymosan	an insoluble carbohydrate in yeast cell walls [n -s]
zymosans	"zymosan, an insoluble carbohydrate in yeast cell walls [n]"
zymoses	"zymosis, fermentation [n]"
zymosimeter	an instrument for measuring fermentation [n -s]
zymosimeters	"zymosimeter, an instrument for measuring fermentation [n]"
zymosis	fermentation [n zymoses]
zymotechnic	"producing and utilizing fermentation, also zymotechnical [adj]"
zymotechnical	"producing and utilizing fermentation, also zymotechnic [adj]"
zymotechnics	zymotechnic [n]
zymotic	"of the nature of, relating to or causing an infectious disease [adj zymotically] / an infectious disease [n -s]"
zymotically	"zymotic, of the nature of, relating to or causing an infectious disease [adv]"
zymotics	"zymotic, an infectious disease [n]"
zymurgies	"zymurgy, the branch of applied chemistry dealing with fermentation processes [n]"
zymurgy	the branch of applied chemistry dealing with fermentation processes [n zymurgies]
zythum	(greek) a malt beer made by the ancient egyptians [n -s]
zythums	"zythum, (greek) a malt beer made by the ancient egyptians [n]"
zyzzyva	a tropical weevil [n -s]
zyzzyvas	"zyzzyva, a tropical weevil [n]"
zzz	an interjection expressing sleep [interj]
zzzs	"(colloquial) an informal noun for sleep, as in to catch a few zzzs [n]"
