
ma	(colloquial) mother [n -s]
methylthionines	"methylthionine, as in methylthionine chloride, a dark green dye used as a stain, antiseptic etc. [n]"
methylxanthine	"a methylated xanthine derivative, such as caffeine, theobromine, or theophylline [n -s]"
methylxanthines	"methylxanthine, a methylated xanthine derivative, such as caffeine, theobromine, or theophylline [n]"
methysergide	a serotonin used in the treatment and prevention of migraine headaches [n -s]
methysergides	"methysergide, a serotonin used in the treatment and prevention of migraine headaches [n]"
methyses	"methysis, drunkenness [n]"
methysis	drunkenness [n methyses]
methystic	intoxicating [adj]
metic	"(historical) in ancient greece, a resident alien in a city, subject to a special tax [n -s]"
meticais	"metical, a monetary unit of mozambique [n]"
metical	a monetary unit of mozambique [n meticals or meticais]
meticals	"metical, a monetary unit of mozambique [n]"
metics	"metic, (historical) in ancient greece, a resident alien in a city, subject to a special tax [n]"
meticulosities	"meticulosity, the state of being meticulous [n]"
meticulosity	the state of being meticulous [n meticulosities]
meticulous	marked by extreme or excessive care in the consideration or treatment of details [adj meticulously]
meticulously	"meticulous, marked by extreme or excessive care in the consideration or treatment of details [adv]"
meticulousness	"meticulous, marked by extreme or excessive care in the consideration or treatment of details [n]"
metier	(french) one's occupation or department of activity; a field in which one has special skill or ability [n -s]
metiers	"metier, (french) one's occupation or department of activity; a field in which one has special skill or ability [n]"
metif	(french) the offspring of a white and a quadroon [n -s]
metifs	"metif, (french) the offspring of a white and a quadroon [n]"
meting	"mete, to distribute by measure [v]"
metis	(french) the (male) offspring of a white person and an american indian [n metis]
metisse	(french) the (female) offspring of a white person and an american indian [n -s]
metisses	"metisse, (french) the (female) offspring of a white person and an american indian [n]"
metoestrous	"relating to the metoestrus, the period in the oestrous cycle following oestrus, characterized by lack of sexual activity, also metestrous [adj]"
metoestrus	"the period in the oestrous cycle following oestrus, characterized by lack of sexual activity, also metestrus [n -es]"
metoestruses	"metoestrus, the period in the oestrous cycle following oestrus, characterized by lack of sexual activity, also metestrus [n]"
metol	a coal tar derivative used in developing pictures [n -s]
metols	"metol, a coal tar derivative used in developing pictures [n]"
metonym	a word used in metonymy [n -s]
metonymic	"relating to a metonym, a word used in metonymy, also metonymical [adj metonymically]"
metonymical	"relating to a metonym, a word used in metonymy, also metonymic [adj metonymically]"
metonymically	"metonymical, relating to a metonym, a word used in metonymy, also metonymic [adv]"
metonymies	"metonymy, a type of figure of speech [n]"
metonyms	"metonym, a word used in metonymy [n]"
metonymy	a type of figure of speech [n metonymies]
metopae	"metope, a space between two triglyphs [n]"
metope	a space between two triglyphs [n metopes or metopae]
metopes	"metope, a space between two triglyphs [n]"
metopic	pertaining to the forehead [adj]
metopism	the condition of having a frontal suture [n -s]
metopisms	"metopism, the condition of having a frontal suture [n]"
metopon	a pain-relieving drug derived from opium [n -s]
metopons	"metopon, a pain-relieving drug derived from opium [n]"
metoposcopic	"relating to metoposcopy, the art of judging a person's character and fortune from his face, also metoposcopical [adj]"
metoposcopical	"relating to metoposcopy, the art of judging a person's character and fortune from his face, also metoposcopic [adj]"
metoposcopies	"metoposcopy, the art of judging a person's character and fortune from his face, principally his forehead [n]"
metoposcopist	"one who practises metoposcopy, the art of judging a person's character and fortune from his face, principally his forehead [n -s]"
metoposcopists	"metoposcopist, one who practises metoposcopy, the art of judging a person's character and fortune from his face, principally his forehead [n]"
metoposcopy	"the art of judging a person's character and fortune from his face, principally his forehead [n metoposcopies]"
metopryl	an anaesthetic related to ether [n -s]
metopryls	"metopryl, an anaesthetic related to ether [n]"
metralgia	pain in the uterus [n -s]
metralgias	"metralgia, pain in the uterus [n]"
metrazol	a drug used to improve blood circulation [n -s]
metrazols	"metrazol, a drug used to improve blood circulation [n]"
metre	"to measure by mechanical means, also meter [v metred, metring, metres]"
metred	"metre, to measure by mechanical means, also meter [v]"
metres	"metre, to measure by mechanical means, also meter [v]"
metrestick	"a measuring stick one metre long, also meterstick [n -s]"
metresticks	"metrestick, a measuring stick one metre long, also meterstick [n]"
metric	relating to metre [adj metrically] / a standard of measurement [n -s]
metrical	pertaining to or composed in a system of arranged and measured rhythm [adj]
metrically	"metrical, pertaining to or composed in a system of arranged and measured rhythm [adv]"
metricate	"to measure [v metricated, metricating, metricates]"
metricated	"metricate, to measure [v]"
metricates	"metricate, to measure [v]"
metricating	"metricate, to measure [v]"
metrication	the act of making metric [n -s]
metrications	"metrication, the act of making metric [n]"
metrician	a composer of verses [n -s]
metricians	"metrician, a composer of verses [n]"
metricise	"to convert to metrical form, also metricize [v metricised, metricising, metricises]"
metricised	"metricise, to convert to metrical form, also metricize [v]"
metricises	"metricise, to convert to metrical form, also metricize [v]"
metricising	"metricise, to convert to metrical form, also metricize [v]"
metricism	the study of metre [n -s]
metricisms	"metricism, the study of metre [n]"
metricist	"a person skilled in metres; one who writes in metres, also metrist [n -s]"
metricists	"metricist, a person skilled in metres; one who writes in metres, also metrist [n]"
metricize	"to convert to metrical form, also metricise [v metricized, metricizing, metricizes]"
metricized	"metricize, to convert to metrical form, also metricise [v]"
metricizes	"metricize, to convert to metrical form, also metricise [v]"
metricizing	"metricize, to convert to metrical form, also metricise [v]"
metrics	"metric, a standard of measurement [n]"
metrification	the act of making metric [n -s]
metrifications	"metrification, the act of making metric [n]"
metrified	"metrify, to compose in metrical form [v]"
metrifier	one who metrifies [n -s]
metrifiers	"metrifier, one who metrifies [n]"
metrifies	"metrify, to compose in metrical form [v]"
metrifonate	"an organophosphorus insecticide, aka trichlorfon [n -s]"
metrifonates	"metrifonate, an organophosphorus insecticide, aka trichlorfon [n]"
metrify	"to compose in metrical form [v metrified, metrifying, metrifies]"
metrifying	"metrify, to compose in metrical form [v]"
metring	"metre, to measure by mechanical means, also meter [v]"
metrist	"a person skilled in metres; one who writes in metres, also metricist [n -s]"
metrists	"metrist, a person skilled in metres; one who writes in metres, also metricist [n]"
metritis	inflammation of the uterus [n -es]
metritises	"metritis, inflammation of the uterus [n]"
metro	an urban railway system running wholly or partly underground [n -s]
metrologic	"relating to metrology, also metrological [adj metrologically]"
metrological	"relating to metrology, also metrologic [adj metrologically]"
metrologically	"metrological, relating to metrology, also metrologic [adv]"
metrologies	"metrology, the science of weights and measures [n]"
metrologist	a student of metrology [n -s]
metrologists	"metrologist, a student of metrology [n]"
metrology	the science of weights and measures [n metrologies]
metromania	an insatiable desire for writing verse [n -s]
metromanias	"metromania, an insatiable desire for writing verse [n]"
metronidazole	"a drug used esp. to treat vaginal trichomoniasis, amebiasis, and infections by anaerobic bacteria [n -s]"
metronidazoles	"metronidazole, a drug used esp. to treat vaginal trichomoniasis, amebiasis, and infections by anaerobic bacteria [n]"
metronome	a mechanical device which indicates the exact tempo of a piece of music by producing a clicking sound from a pendulum with an adjustable period of swing [n -s]
metronomes	"metronome, a mechanical device which indicates the exact tempo of a piece of music by producing a clicking sound from a pendulum with an adjustable period of swing [n]"
metronomic	"of or like a metronome, also metronomical [adj metronomically]"
metronomical	"of or like a metronome, also metronomic [adj metronomically]"
metronomically	"metronomical, of or like a metronome, also metronomic [adv]"
metronymic	"derived from the name of one's mother, or other female ancestor [adj] / a name so derived, also matronymic [n -s]"
metronymics	"metronymic, a name so derived, also matronymic [n]"
metroplex	a large urban or metropolitan area [n -es]
metroplexes	"metroplex, a large urban or metropolitan area [n]"
metropolis	"the chief or capital city of a country, state, or region [n -es]"
metropolises	"metropolis, the chief or capital city of a country, state, or region [n]"
metropolitan	an archbishop holding authority over other bishops [n -s]
metropolitanate	a metropolitan area [n]
metropolitanise	"to make metropolitan, also metropolitanize [v]"
metropolitanism	the state of being metropolitan [n]
metropolitanize	"to make metropolitan, also metropolitanise [v]"
metropolitans	"metropolitan, an archbishop holding authority over other bishops [n]"
metropolitical	of or like a metropolis [adj]
metrorrhagia	irregular uterine bleeding esp. between menstrual periods [n -s]
metrorrhagias	"metrorrhagia, irregular uterine bleeding esp. between menstrual periods [n]"
metros	"metro, an urban railway system running wholly or partly underground [n]"
metrosexual	a heterosexual man who spends a lot of time and money on his appearance and likes to shop [n -s]
metrosexuals	"metrosexual, a heterosexual man who spends a lot of time and money on his appearance and likes to shop [n]"
metrostyle	a device for regulating speed in a player-piano [n -s]
metrostyles	"metrostyle, a device for regulating speed in a player-piano [n]"
mets	"met, (short for) meteorology [n]"
mettle	spirit or courage [n -s]
mettled	having spirit [adj]
mettles	"mettle, spirit or courage [n]"
mettlesome	full of mettle [adj]
mettlesomeness	"mettlesome, full of mettle [n]"
metump	"a tumpline, a strap placed across a man's forehead to assist him in carrying a pack on his back [n -s]"
metumps	"metump, a tumpline, a strap placed across a man's forehead to assist him in carrying a pack on his back [n]"
meu	the plant baldmoney [n -s]
meuniere	"(french) of food, esp. fish, lightly coated in flour and fried in butter [adj]"
meus	"meu, the plant baldmoney [n]"
meuse	"a small hole or gap through which a wild animal passes, also mews, muset, musit, smeuse [n -s] / to pass through a meuse [v meused, meusing, meuses]"
meused	"meuse, to pass through a meuse [v]"
meuses	"meuse, to pass through a meuse [v]"
meusing	"meuse, to pass through a meuse [v]"
meve	"(obsolete) to move, also amoove, amove, mieve, moove [v meved, meving, meves]"
meved	"meve, (obsolete) to move, also amoove, amove, mieve, moove [v]"
meves	"meve, (obsolete) to move, also amoove, amove, mieve, moove [v]"
meving	"meve, (obsolete) to move, also amoove, amove, mieve, moove [v]"
mevrou	(south africa) a title of respect for a woman [n -s]
mevrous	"mevrou, (south africa) a title of respect for a woman [n]"
mew	"of a cat, to make a high pitched cry [v -ed, -ing, -s]"
mewed	"mew, of a cat, to make a high pitched cry [v]"
mewing	"mew, of a cat, to make a high pitched cry [v]"
mewl	"to cry feebly, as a kitten [v -ed, -ing, -s]"
mewled	"mewl, to cry feebly, as a kitten [v]"
mewler	one that mewls [n -s]
mewlers	"mewler, one that mewls [n]"
mewling	"mewl, to cry feebly, as a kitten [v]"
mewls	"mewl, to cry feebly, as a kitten [v]"
mews	"stables converted to housing [n mewses or mews] / to pass through a meuse [v -ed, -ing, -es]"
mewsed	"mews, to pass through a meuse [v]"
mewses	"mews, to pass through a meuse [v]"
mewsing	"mews, to pass through a meuse [v]"
meynt	"meng, (archaic) to mix; to unite, couple, also menge, ming [v]"
mezail	"a visor, esp. one made in two parts, also mesail [n -s]"
mezails	"mezail, a visor, esp. one made in two parts, also mesail [n]"
mezcal	"(nahuatl) a distilled liquor prepared in mexico from a species of agave, also mescal [n -s]"
mezcaline	"the principal alkaloid in mescal, used as a hallucinogen, also mescalin, mescaline [n -s]"
mezcalines	"mezcaline, the principal alkaloid in mescal, used as a hallucinogen, also mescalin, mescaline [n]"
mezcals	"mezcal, (nahuatl) a distilled liquor prepared in mexico from a species of agave, also mescal [n]"
meze	"a greek or middle eastern appetizer, also mezze [n -s]"
mezereon	"an early-flowering woodland shrub with fragrant purplish or rose-coloured flowers, also mezereum [n -s]"
mezereons	"mezereon, an early-flowering woodland shrub with fragrant purplish or rose-coloured flowers, also mezereum [n]"
mezereum	"an early-flowering woodland shrub with fragrant purplish or rose-coloured flowers, also mezereon [n -s]"
mezereums	"mezereum, an early-flowering woodland shrub with fragrant purplish or rose-coloured flowers, also mezereon [n]"
mezes	"meze, a greek or middle eastern appetizer, also mezze [n]"
mezquit	"a name for two trees of the southwestern part of north america, the honey mesquite, and screw-pod mesquite, also mesquit, mesquite, mezquite, muskit [n -s]"
mezquite	"a name for two trees of the southwestern part of north america, the honey mesquite, and screw-pod mesquite, also mesquit, mesquite, mezquit, muskit [n -s]"
mezquites	"mezquite, a name for two trees of the southwestern part of north america, the honey mesquite, and screw-pod mesquite, also mesquit, mesquite, mezquit, muskit [n]"
mezquits	"mezquit, a name for two trees of the southwestern part of north america, the honey mesquite, and screw-pod mesquite, also mesquit, mesquite, mezquite, muskit [n]"
mezuza	"(hebrew) a small rolled parchment affixed to the doorposts in jewish houses in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuzah [n -s]"
mezuzah	"(hebrew) a small rolled parchment affixed to the doorposts in jewish houses, in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuza [n mezuzahs, mezuzot or mezuzoth]"
mezuzahs	"mezuzah, (hebrew) a small rolled parchment affixed to the doorposts in jewish houses, in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuza [n]"
mezuzas	"mezuza, (hebrew) a small rolled parchment affixed to the doorposts in jewish houses in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuzah [n]"
mezuzot	"mezuzah, (hebrew) a small rolled parchment affixed to the doorposts in jewish houses, in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuza [n]"
mezuzoth	"mezuzah, (hebrew) a small rolled parchment affixed to the doorposts in jewish houses, in fulfilment of the torah's command to inscribe god's words upon the doorposts of one's house, also mezuza [n]"
mezz	"(short for) mezzanine, relating to an intermediate stage in a financial process [adj]"
mezzaluna	a half-moon shaped kitchen chopper [n -s]
mezzalunas	"mezzaluna, a half-moon shaped kitchen chopper [n]"
mezzanine	"a low storey between two main storeys of a building, generally between the ground floor and the first floor [n -s]"
mezzanines	"mezzanine, a low storey between two main storeys of a building, generally between the ground floor and the first floor [n]"
mezze	"a greek or middle eastern appetizer, also meze [n -s]"
mezzes	mezz [n]
mezzo	"(short for) mezzo-soprano, a female voice of a full, deep quality [n -s]"
mezzos	"mezzo, (short for) mezzo-soprano, a female voice of a full, deep quality [n]"
mezzotint	"to engrave using a method of copper engraving with even gradation of tones [v mezzotinted, mezzotinting, mezzotints]"
mezzotinted	"mezzotint, to engrave using a method of copper engraving with even gradation of tones [v]"
mezzotinter	one who works in mezzotint [n -s]
mezzotinters	"mezzotinter, one who works in mezzotint [n]"
mezzotinting	"mezzotint, to engrave using a method of copper engraving with even gradation of tones [v]"
mezzotinto	(italian) a mezzotint [n -s]
mezzotintos	"mezzotinto, (italian) a mezzotint [n]"
mezzotints	mezzotint [n]
mganga	"in tanzania and other parts of east africa, an indigenous african doctor, a witch-doctor [n -s]"
mgangas	"mganga, in tanzania and other parts of east africa, an indigenous african doctor, a witch-doctor [n]"
mho	a unit of electrical conductance [n -s]
mhorr	"a west african gazelle, also mohr [n -s]"
mhorrs	"mhorr, a west african gazelle, also mohr [n]"
mhos	"mho, a unit of electrical conductance [n]"
mi	the third note of the musical scale [n -s]
miaou	"to make the sound of a crying cat, also meow, meou, miaow, miaul [v -ed, -ing, -s]"
miaoued	"miaou, to make the sound of a crying cat, also meow, meou, miaow, miaul [v]"
miaouing	"miaou, to make the sound of a crying cat, also meow, meou, miaow, miaul [v]"
miaous	"miaou, to make the sound of a crying cat, also meow, meou, miaow, miaul [v]"
miaow	"to make the sound of a crying cat, also meow, meou, miaou, miaul [v -ed, -ing, -s]"
miaowed	"miaow, to make the sound of a crying cat, also meow, meou, miaou, miaul [v]"
miaowing	"miaow, to make the sound of a crying cat, also meow, meou, miaou, miaul [v]"
miaows	"miaow, to make the sound of a crying cat, also meow, meou, miaou, miaul [v]"
miarolitic	having irregular cavities into which the constituent minerals of the rock project with perfectly terminated crystals [adj]
miasm	"a noxious vapor, also miasma [n -s]"
miasma	"a noxious vapor, also miasm [n miasmas or miasmata]"
miasmal	"of or like a miasma, also miasmatic, miasmic, miasmous [adj]"
miasmas	"miasma, a noxious vapor, also miasm [n]"
miasmata	"miasma, a noxious vapor, also miasm [n]"
miasmatic	"of or like a miasma, also miasmal, miasmic, miasmous [adj]"
miasmatical	"of or like a miasma, also miasmatous [adj]"
miasmatous	"of or like a miasma, also miasmatical [adj]"
miasmic	"of or like a miasma, also miasmal, miasmatic, miasmous [adj miasmically]"
miasmically	"miasmic, of or like a miasma, also miasmal, miasmatic, miasmous [adv]"
miasmous	"of or like a miasma, also miasmal, miasmatic, miasmic [adj]"
miasms	"miasm, a noxious vapor, also miasma [n]"
miaul	"to make the sound of a crying cat, also meow, meou, miaou, miaow [v -ed, -ing, -s]"
miauled	"miaul, to make the sound of a crying cat, also meow, meou, miaou, miaow [v]"
miauling	"miaul, to make the sound of a crying cat, also meow, meou, miaou, miaow [v]"
miauls	"miaul, to make the sound of a crying cat, also meow, meou, miaou, miaow [v]"
mib	"a type of playing marble, also mig, migg, miggle [n -s]"
mibs	"mib, a type of playing marble, also mig, migg, miggle [n]"
mibuna	"a japanese vegetable of the cabbage family, closely related to mizuna [n -s]"
mibunas	"mibuna, a japanese vegetable of the cabbage family, closely related to mizuna [n]"
mic	(short for) a microphone [n -s]
mica	"a rock-forming mineral (muscovite, biotite, lepidolite, etc.) with perfect basal cleavage [n -s]"
micaceous	consisting of or made of mica [adj]
micas	"mica, a rock-forming mineral (muscovite, biotite, lepidolite, etc.) with perfect basal cleavage [n]"
micate	"to furnish with mica [v micated, micating, micates]"
micated	"micate, to furnish with mica [v]"
micates	"micate, to furnish with mica [v]"
micating	"micate, to furnish with mica [v]"
micawber	a person who remains hopeful despite adversity [n -s]
micawbers	"micawber, a person who remains hopeful despite adversity [n]"
mice	"mouse, a small rodent [n]"
micell	"a group of molecular chains, a structural unit of colloids, also micella, micelle [n -s]"
micella	"a group of molecular chains, a structural unit of colloids, also micell, micelle [n micellae or micellas]"
micellae	"micella, a group of molecular chains, a structural unit of colloids, also micell, micelle [n]"
micellar	"of or like a micella, a group of molecular chains, a structural unit of colloids [adj]"
micellas	"micella, a group of molecular chains, a structural unit of colloids, also micell, micelle [n]"
micelle	"a group of molecular chains, a structural unit of colloids, also micell, micella [n -s]"
micelles	"micelle, a group of molecular chains, a structural unit of colloids, also micell, micella [n]"
micells	"micell, a group of molecular chains, a structural unit of colloids, also micella, micelle [n]"
mich	"to play truant, also miche, mitch, mooch, mouch [v -ed, -ing, -es]"
michael	"as in take the michael, to make fun of [n -s]"
michaels	"michael, as in take the michael, to make fun of [n]"
miche	"to play truant, also mich, mitch, mooch, mouch [v miched, miching, miches]"
miched	"miche, to play truant, also mich, mitch, mooch, mouch [v]"
micher	"a truant, also moocher, moucher [n -s]"
michers	"micher, a truant, also moocher, moucher [n]"
miches	"miche, to play truant, also mich, mitch, mooch, mouch [v]"
michigan	"(us) a card game, equivalent to newmarket [n -s]"
michigans	"michigan, (us) a card game, equivalent to newmarket [n]"
miching	the act of playing truant [n -s]
michings	"miching, the act of playing truant [n]"
micht	"(scots) might, power [n -s]"
michts	"micht, (scots) might, power [n]"
mick	"an irishman, also micky [n -s]"
mickeries	"mickery, (native australian) a well or waterhole, esp. in a dry riverbed [n]"
mickery	"(native australian) a well or waterhole, esp. in a dry riverbed [n mickeries]"
mickey	"to drug a drink [v -ed, -ing, -s]"
mickeyed	"mickey, to drug a drink [v]"
mickeying	"mickey, to drug a drink [v]"
mickeys	"mickey, to drug a drink [v]"
mickies	"micky, an irishman, also mick [n]"
mickle	"a large amount [n -s] / much or great, also meikle, mochell, muchel, muchell [adj mickler, micklest]"
mickler	"mickle, much or great, also meikle, mochell, muchel, muchell [adj]"
mickles	"mickle, a large amount [n]"
micklest	"mickle, much or great, also meikle, mochell, muchel, muchell [adj]"
micks	"mick, an irishman, also micky [n]"
micky	"an irishman, also mick [n mickies]"
mico	the black-tailed marmoset [n -s]
micos	"mico, the black-tailed marmoset [n]"
micra	"micron, a unit of length, also mikron [n]"
micrified	"micrify, to make small [v]"
micrifies	"micrify, to make small [v]"
micrify	"to make small [v micrified, micrifying, micrifies]"
micrifying	"micrify, to make small [v]"
micro	(short for) a microprocessor [n -s]
microaerophile	"an organism, esp. a bacterium, that thrives in an environment low in oxygen [n -s]"
microaerophiles	"microaerophile, an organism, esp. a bacterium, that thrives in an environment low in oxygen [n]"
microaerophilic	"of or like a microaerophile, an organism, esp. a bacterium, that thrives in an environment low in oxygen [adj]"
microampere	a millionth of an ampere [n -s]
microamperes	"microampere, a millionth of an ampere [n]"
microanalyses	"microanalysis, chemical analysis on a small or minute scale [n]"
microanalysis	chemical analysis on a small or minute scale [n microanalyses]
microanalyst	one who undertakes microanalysis [n -s]
microanalysts	"microanalyst, one who undertakes microanalysis [n]"
microanalytic	"relating to microanalysis, also microanalytical [adj]"
microanalytical	"relating to microanalysis, also microanalytic [adj]"
microanatomical	relating to microanatomy [adj]
microanatomies	"microanatomy, the study of microscopic tissues [n]"
microanatomy	the study of microscopic tissues [n microanatomies]
microarray	"a collection of microscopic dna spots, aka gene chip [n -s]"
microarrays	"microarray, a collection of microscopic dna spots, aka gene chip [n]"
microbalance	a balance designed to measure very small weights [n -s]
microbalances	"microbalance, a balance designed to measure very small weights [n]"
microbar	a unit of atmospheric pressure [n -s]
microbarograph	an instrument for recording minute changes in atmospheric pressure [n -s]
microbarographs	"microbarograph, an instrument for recording minute changes in atmospheric pressure [n]"
microbars	"microbar, a unit of atmospheric pressure [n]"
microbe	a microscopic organism [n -s]
microbeam	a beam of radiation of small cross-section [n -s]
microbeams	"microbeam, a beam of radiation of small cross-section [n]"
microbes	"microbe, a microscopic organism [n]"
microbial	"of or like a microbe, also microbian, microbic [adj]"
microbian	"of or like a microbe, also microbial, microbic [adj]"
microbic	"of or like a microbe, also microbial, microbian [adj]"
microbiologic	"relating to microbiology, also microbiological [adj]"
microbiological	"relating to microbiology, also microbiologic [adj]"
microbiologies	"microbiology, the study of microscopic organisms [n]"
microbiologist	one who studies microbiology [n -s]
microbiologists	"microbiologist, one who studies microbiology [n]"
microbiology	the study of microscopic organisms [n microbiologies]
microbiome	"the microscopic organisms, such as bacteria, which inhabit the human body in a symbiotic relationship [n -s]"
microbiomes	"microbiome, the microscopic organisms, such as bacteria, which inhabit the human body in a symbiotic relationship [n]"
microbiota	the smallest soil organisms [n]
microblog	a blog in which there is a limitation on the length of individual postings [n -s]
microblogger	one who keeps a microblog [n -s]
microbloggers	"microblogger, one who keeps a microblog [n]"
microblogging	the practice of keeping a microblog [n -s]
microbloggings	"microblogging, the practice of keeping a microblog [n]"
microblogs	"microblog, a blog in which there is a limitation on the length of individual postings [n]"
microbrew	a beer produced by a microbrewery [n -s]
microbrewer	microbrew [v]
microbreweries	"microbrewery, a small brewery making specialty beer in limited quantities [n]"
microbrewers	microbrewer [n]
microbrewery	a small brewery making specialty beer in limited quantities [n microbreweries]
microbrewing	production by a microbrew [n -s]
microbrewings	"microbrewing, production by a microbrew [n]"
microbrews	"microbrew, a beer produced by a microbrewery [n]"
microbubbles	"a contrast medium used with ultrasound, consisting of tiny bubbles of gas introduced into the vascular system [n]"
microburst	"a sudden violent downward rush of air usually associated with thunderstorms, also downburst [n -s]"
microbursts	"microburst, a sudden violent downward rush of air usually associated with thunderstorms, also downburst [n]"
microbus	a small bus [n microbuses or microbusses]
microbuses	"microbus, a small bus [n]"
microbusses	"microbus, a small bus [n]"
microcap	"of a company, having very small capitalisation [adj]"
microcapsule	a tiny capsule containing material (as an adhesive or a medicine) that is released when the capsule is broken [n -s]
microcapsules	"microcapsule, a tiny capsule containing material (as an adhesive or a medicine) that is released when the capsule is broken [n]"
microcar	a compact small-engined car [n -s]
microcard	a card representing some 200 or more pages of a book in microscopic print [n -s]
microcards	"microcard, a card representing some 200 or more pages of a book in microscopic print [n]"
microcars	"microcar, a compact small-engined car [n]"
microcassette	a small cassette of magnetic tape [n -s]
microcassettes	"microcassette, a small cassette of magnetic tape [n]"
microcelebrity	a very low-ranking celebrity [n]
microcephal	someone having a very small head [n -s]
microcephalic	"having a very small head, also microcephalous [adj] / someone with a very small head [n -s]"
microcephalics	"microcephalic, someone with a very small head [n]"
microcephalies	"microcephaly, small-headedness [n]"
microcephalous	"small-headed, also microcephalic [adj]"
microcephals	"microcephal, someone having a very small head [n]"
microcephaly	small-headedness [n microcephalies]
microchemical	relating to microchemistry [adj]
microchemistry	small-scale chemistry [adj]
microchip	"a chip of silicon [n -s] / to fit with a microchip [v microchipped, microchipping, microchips]"
microchipped	"microchip, to fit with a microchip [v]"
microchipping	"microchip, to fit with a microchip [v]"
microchips	"microchip, a chip of silicon [n]"
microcircuit	a compact electronic circuit [n -s]
microcircuitry	circuitry composed of microcircuits [n]
microcircuits	"microcircuit, a compact electronic circuit [n]"
microclimate	the climate of a very small area [n -s]
microclimates	"microclimate, the climate of a very small area [n]"
microclimatic	"relating to microclimate, the climate of a very small area [adj]"
microcline	a mineral of the feldspar group [n -s]
microclines	"microcline, a mineral of the feldspar group [n]"
micrococcal	of or like a micrococcus [adj]
micrococci	"micrococcus, a small spherical bacterium [n]"
micrococcus	a small spherical bacterium [n micrococci]
microcode	a micro-instruction [n -s]
microcodes	"microcode, a micro-instruction [n]"
microcomponent	a very small component [n -s]
microcomponents	"microcomponent, a very small component [n]"
microcomputer	a small computer usually equipped with a microprocessor [n -s]
microcomputers	"microcomputer, a small computer usually equipped with a microprocessor [n]"
microcomputing	computing with a microcomputer [n -s]
microcomputings	"microcomputing, computing with a microcomputer [n]"
microcopied	"microcopy, to copy on microfilm [v]"
microcopies	"microcopy, to copy on microfilm [v]"
microcopy	"a copy on microfilm [n microcopies] / to copy on microfilm [v microcopied, microcopying, microcopies]"
microcopying	"microcopy, to copy on microfilm [v]"
microcopyings	microcopying [n]
microcosm	the world of human nature (as opposed to all nature); humanity viewed as an epitome of the universe [n -s]
microcosmic	"of or like a microcosm, also microcosmical [adj microcosmically]"
microcosmical	"of or like a microcosm, also microcosmic [adj microcosmically]"
microcosmically	"microcosmical, of or like a microcosm, also microcosmic [adv]"
microcosmos	a little universe or world [n -es]
microcosmoses	"microcosmos, a little universe or world [n]"
microcosms	"microcosm, the world of human nature (as opposed to all nature); humanity viewed as an epitome of the universe [n]"
microcrack	"to crack microscopically [v microcracked, microcracking, microcracks]"
microcracked	"microcrack, to crack microscopically [v]"
microcracking	microscopic cracking [n -s]
microcrackings	"microcracking, microscopic cracking [n]"
microcracks	microcrack [n]
microcrystal	a microscopic crystal [n -s]
microcrystals	"microcrystal, a microscopic crystal [n]"
microcultural	relating to microculture [adj]
microculture	a microscopic culture of cells or organisms [n -s]
microcultures	"microculture, a microscopic culture of cells or organisms [n]"
microcurie	"a unit of radiation, a millionth of a curie [n -s]"
microcuries	"microcurie, a unit of radiation, a millionth of a curie [n]"
microcyte	an unusually small red blood cell [n -s]
microcytes	"microcyte, an unusually small red blood cell [n]"
microcytic	of or like a microcyte [adj]
microdetection	the detection of minute amounts of change [n -s]
microdetections	"microdetection, the detection of minute amounts of change [n]"
microdetector	an instrument for detecting minute amounts of changes [n -s]
microdetectors	"microdetector, an instrument for detecting minute amounts of changes [n]"
microdissection	dissection under the microscope [n]
microdont	"having unusually small teeth, also microdontous [adj]"
microdontous	"having very small teeth, also microdont [adj]"
microdot	a copy of printed matter reduced to the size of a dot [n -s]
microdots	"microdot, a copy of printed matter reduced to the size of a dot [n]"
microdrive	a very small hard disk drive [n -s]
microdrives	"microdrive, a very small hard disk drive [n]"
microdrone	a small remote-controlled unmanned flying object [n -s]
microdrones	"microdrone, a small remote-controlled unmanned flying object [n]"
microearthquake	an earthquake of low intensity [n]
microeconomic	relating to microeconomics [adj]
microeconomics	microeconomic [n]
microelectrode	a minute electrode [n -s]
microelectrodes	"microelectrode, a minute electrode [n]"
microelectronic	relating to microelectronics [adj]
microelement	a trace element [n -s]
microelements	"microelement, a trace element [n]"
microevolution	comparatively minor evolutionary change involving the accumulation of variations in populations usually below the species level [n -s]
microevolutions	"microevolution, comparatively minor evolutionary change involving the accumulation of variations in populations usually below the species level [n]"
microfarad	the millionth part of a farad [n -s]
microfarads	"microfarad, the millionth part of a farad [n]"
microfauna	very small animals [n microfaunae or microfaunas]
microfaunae	"microfauna, very small animals [n]"
microfaunal	"relating to microfauna, very small animals [adj]"
microfaunas	"microfauna, very small animals [n]"
microfelsitic	of the cryptocrystalline texture of a quartz-felsite groundmass [adj]
microfiber	"a cloth of tightly woven synthetic fibre, also microfibre [n -s]"
microfibers	"microfiber, a cloth of tightly woven synthetic fibre, also microfibre [n]"
